Cidade,Estado,Sigla
Água Branca,Alagoas,AL
Anadia,Alagoas,AL
Arapiraca,Alagoas,AL
Atalaia,Alagoas,AL
Barra de Santo Antônio,Alagoas,AL
Barra de São Miguel,Alagoas,AL
Batalha,Alagoas,AL
Belém,Alagoas,AL
Belo Monte,Alagoas,AL
Boca da Mata,Alagoas,AL
Branquinha,Alagoas,AL
Cacimbinhas,Alagoas,AL
Cajueiro,Alagoas,AL
Campestre,Alagoas,AL
Campo Alegre,Alagoas,AL
Campo Grande,Alagoas,AL
Canapi,Alagoas,AL
Capela,Alagoas,AL
Carneiros,Alagoas,AL
Chã Preta,Alagoas,AL
Coité do Nóia,Alagoas,AL
Colônia Leopoldina,Alagoas,AL
Coqueiro Seco,Alagoas,AL
Coruripe,Alagoas,AL
Craíbas,Alagoas,AL
Delmiro Gouveia,Alagoas,AL
Dois Riachos,Alagoas,AL
Estrela de Alagoas,Alagoas,AL
Feira Grande,Alagoas,AL
Feliz Deserto,Alagoas,AL
Flexeiras,Alagoas,AL
Girau do Ponciano,Alagoas,AL
Ibateguara,Alagoas,AL
Igaci,Alagoas,AL
Igreja Nova,Alagoas,AL
Inhapi,Alagoas,AL
Jacaré dos Homens,Alagoas,AL
Jacuípe,Alagoas,AL
Japaratinga,Alagoas,AL
Jaramataia,Alagoas,AL
Jequiá da Praia,Alagoas,AL
Joaquim Gomes,Alagoas,AL
Jundiá,Alagoas,AL
Junqueiro,Alagoas,AL
Lagoa da Canoa,Alagoas,AL
Limoeiro de Anadia,Alagoas,AL
Maceió,Alagoas,AL
Major Isidoro,Alagoas,AL
Mar Vermelho,Alagoas,AL
Maragogi,Alagoas,AL
Maravilha,Alagoas,AL
Marechal Deodoro,Alagoas,AL
Maribondo,Alagoas,AL
Mata Grande,Alagoas,AL
Matriz de Camaragibe,Alagoas,AL
Messias,Alagoas,AL
Minador do Negrão,Alagoas,AL
Monteirópolis,Alagoas,AL
Murici,Alagoas,AL
Novo Lino,Alagoas,AL
Olho d'Água das Flores,Alagoas,AL
Olho d'Água do Casado,Alagoas,AL
Olho d'Água Grande,Alagoas,AL
Olivença,Alagoas,AL
Ouro Branco,Alagoas,AL
Palestina,Alagoas,AL
Palmeira dos Índios,Alagoas,AL
Pão de Açúcar,Alagoas,AL
Pariconha,Alagoas,AL
Paripueira,Alagoas,AL
Passo de Camaragibe,Alagoas,AL
Paulo Jacinto,Alagoas,AL
Penedo,Alagoas,AL
Piaçabuçu,Alagoas,AL
Pilar,Alagoas,AL
Pindoba,Alagoas,AL
Piranhas,Alagoas,AL
Poço das Trincheiras,Alagoas,AL
Porto Calvo,Alagoas,AL
Porto de Pedras,Alagoas,AL
Porto Real do Colégio,Alagoas,AL
Quebrangulo,Alagoas,AL
Rio Largo,Alagoas,AL
Roteiro,Alagoas,AL
Santa Luzia do Norte,Alagoas,AL
Santana do Ipanema,Alagoas,AL
Santana do Mundaú,Alagoas,AL
São Brás,Alagoas,AL
São José da Laje,Alagoas,AL
São José da Tapera,Alagoas,AL
São Luís do Quitunde,Alagoas,AL
São Miguel dos Campos,Alagoas,AL
São Miguel dos Milagres,Alagoas,AL
São Sebastião,Alagoas,AL
Satuba,Alagoas,AL
Senador Rui Palmeira,Alagoas,AL
Tanque d'Arca,Alagoas,AL
Taquarana,Alagoas,AL
Teotônio Vilela,Alagoas,AL
Traipu,Alagoas,AL
União dos Palmares,Alagoas,AL
Viçosa,Alagoas,AL
