Cidade,Estado,Sigla
Alvarães,Amazonas,AM
Amaturá,Amazonas,AM
Anamã,Amazonas,AM
Anori,Amazonas,AM
Apuí,Amazonas,AM
Atalaia do Norte,Amazonas,AM
Autazes,Amazonas,AM
Barcelos,Amazonas,AM
Barreirinha,Amazonas,AM
Benjamin Constant,Amazonas,AM
Beruri,Amazonas,AM
Boa Vista do Ramos,Amazonas,AM
Boca do Acre,Amazonas,AM
Borba,Amazonas,AM
Caapiranga,Amazonas,AM
Canutama,Amazonas,AM
Carauari,Amazonas,AM
Careiro,Amazonas,AM
Careiro da Várzea,Amazonas,AM
Coari,Amazonas,AM
Codajás,Amazonas,AM
Eirunepé,Amazonas,AM
Envira,Amazonas,AM
Fonte Boa,Amazonas,AM
Guajará,Amazonas,AM
Humaitá,Amazonas,AM
Ipixuna,Amazonas,AM
Iranduba,Amazonas,AM
Itacoatiara,Amazonas,AM
Itamarati,Amazonas,AM
Itapiranga,Amazonas,AM
Japurá,Amazonas,AM
Juruá,Amazonas,AM
Jutaí,Amazonas,AM
Lábrea,Amazonas,AM
Manacapuru,Amazonas,AM
Manaquiri,Amazonas,AM
Manaus,Amazonas,AM
Manicoré,Amazonas,AM
Maraã,Amazonas,AM
Maués,Amazonas,AM
Nhamundá,Amazonas,AM
Nova Olinda do Norte,Amazonas,AM
Novo Airão,Amazonas,AM
Novo Aripuanã,Amazonas,AM
Parintins,Amazonas,AM
Pauini,Amazonas,AM
Presidente Figueiredo,Amazonas,AM
Rio Preto da Eva,Amazonas,AM
Santa Isabel do Rio Negro,Amazonas,AM
Santo Antônio do Içá,Amazonas,AM
São Gabriel da Cachoeira,Amazonas,AM
São Paulo de Olivença,Amazonas,AM
São Sebastião do Uatumã,Amazonas,AM
Silves,Amazonas,AM
Tabatinga,Amazonas,AM
Tapauá,Amazonas,AM
Tefé,Amazonas,AM
Tonantins,Amazonas,AM
Uarini,Amazonas,AM
Urucará,Amazonas,AM
Urucurituba,Amazonas,AM
