Cidade,Estado,Sigla
Abaiara,Ceará,CE
Acarape,Ceará,CE
Acaraú,Ceará,CE
Acopiara,Ceará,CE
Aiuaba,Ceará,CE
Alcântaras,Ceará,CE
Altaneira,Ceará,CE
Alto Santo,Ceará,CE
Amontada,Ceará,CE
Antonina do Norte,Ceará,CE
Apuiarés,Ceará,CE
Aquiraz,Ceará,CE
Aracati,Ceará,CE
Aracoiaba,Ceará,CE
Ararendá,Ceará,CE
Araripe,Ceará,CE
Aratuba,Ceará,CE
Arneiroz,Ceará,CE
Assaré,Ceará,CE
Aurora,Ceará,CE
Baixio,Ceará,CE
Banabuiú,Ceará,CE
Barbalha,Ceará,CE
Barreira,Ceará,CE
Barro,Ceará,CE
Barroquinha,Ceará,CE
Baturité,Ceará,CE
Beberibe,Ceará,CE
Bela Cruz,Ceará,CE
Boa Viagem,Ceará,CE
Brejo Santo,Ceará,CE
Camocim,Ceará,CE
Campos Sales,Ceará,CE
Canindé,Ceará,CE
Capistrano,Ceará,CE
Caridade,Ceará,CE
Cariré,Ceará,CE
Caririaçu,Ceará,CE
Cariús,Ceará,CE
Carnaubal,Ceará,CE
Cascavel,Ceará,CE
Catarina,Ceará,CE
Catunda,Ceará,CE
Caucaia,Ceará,CE
Cedro,Ceará,CE
Chaval,Ceará,CE
Choró,Ceará,CE
Chorozinho,Ceará,CE
Coreaú,Ceará,CE
Crateús,Ceará,CE
Crato,Ceará,CE
Croatá,Ceará,CE
Cruz,Ceará,CE
Deputado Irapuan Pinheiro,Ceará,CE
Ererê,Ceará,CE
Eusébio,Ceará,CE
Farias Brito,Ceará,CE
Forquilha,Ceará,CE
Fortaleza,Ceará,CE
Fortim,Ceará,CE
Frecheirinha,Ceará,CE
General Sampaio,Ceará,CE
Graça,Ceará,CE
Granja,Ceará,CE
Granjeiro,Ceará,CE
Groaíras,Ceará,CE
Guaiúba,Ceará,CE
Guaraciaba do Norte,Ceará,CE
Guaramiranga,Ceará,CE
Hidrolândia,Ceará,CE
Horizonte,Ceará,CE
Ibaretama,Ceará,CE
Ibiapina,Ceará,CE
Ibicuitinga,Ceará,CE
Icapuí,Ceará,CE
Icó,Ceará,CE
Iguatu,Ceará,CE
Independência,Ceará,CE
Ipaporanga,Ceará,CE
Ipaumirim,Ceará,CE
Ipu,Ceará,CE
Ipueiras,Ceará,CE
Iracema,Ceará,CE
Irauçuba,Ceará,CE
Itaiçaba,Ceará,CE
Itaitinga,Ceará,CE
Itapajé,Ceará,CE
Itapipoca,Ceará,CE
Itapiúna,Ceará,CE
Itarema,Ceará,CE
Itatira,Ceará,CE
Jaguaretama,Ceará,CE
Jaguaribara,Ceará,CE
Jaguaribe,Ceará,CE
Jaguaruana,Ceará,CE
Jardim,Ceará,CE
Jati,Ceará,CE
Jijoca de Jericoacoara,Ceará,CE
Juazeiro do Norte,Ceará,CE
Jucás,Ceará,CE
Lavras da Mangabeira,Ceará,CE
Limoeiro do Norte,Ceará,CE
Madalena,Ceará,CE
Maracanaú,Ceará,CE
Maranguape,Ceará,CE
Marco,Ceará,CE
Martinópole,Ceará,CE
Massapê,Ceará,CE
Mauriti,Ceará,CE
Meruoca,Ceará,CE
Milagres,Ceará,CE
Milhã,Ceará,CE
Miraíma,Ceará,CE
Missão Velha,Ceará,CE
Mombaça,Ceará,CE
Monsenhor Tabosa,Ceará,CE
Morada Nova,Ceará,CE
Moraújo,Ceará,CE
Morrinhos,Ceará,CE
Mucambo,Ceará,CE
Mulungu,Ceará,CE
Nova Olinda,Ceará,CE
Nova Russas,Ceará,CE
Novo Oriente,Ceará,CE
Ocara,Ceará,CE
Orós,Ceará,CE
Pacajus,Ceará,CE
Pacatuba,Ceará,CE
Pacoti,Ceará,CE
Pacujá,Ceará,CE
Palhano,Ceará,CE
Palmácia,Ceará,CE
Paracuru,Ceará,CE
Paraipaba,Ceará,CE
Parambu,Ceará,CE
Paramoti,Ceará,CE
Pedra Branca,Ceará,CE
Penaforte,Ceará,CE
Pentecoste,Ceará,CE
Pereiro,Ceará,CE
Pindoretama,Ceará,CE
Piquet Carneiro,Ceará,CE
Pires Ferreira,Ceará,CE
Poranga,Ceará,CE
Porteiras,Ceará,CE
Potengi,Ceará,CE
Potiretama,Ceará,CE
Quiterianópolis,Ceará,CE
Quixadá,Ceará,CE
Quixelô,Ceará,CE
Quixeramobim,Ceará,CE
Quixeré,Ceará,CE
Redenção,Ceará,CE
Reriutaba,Ceará,CE
Russas,Ceará,CE
Saboeiro,Ceará,CE
Salitre,Ceará,CE
Santa Quitéria,Ceará,CE
Santana do Acaraú,Ceará,CE
Santana do Cariri,Ceará,CE
São Benedito,Ceará,CE
São Gonçalo do Amarante,Ceará,CE
São João do Jaguaribe,Ceará,CE
São Luís do Curu,Ceará,CE
Senador Pompeu,Ceará,CE
Senador Sá,Ceará,CE
Sobral,Ceará,CE
Solonópole,Ceará,CE
Tabuleiro do Norte,Ceará,CE
Tamboril,Ceará,CE
Tarrafas,Ceará,CE
Tauá,Ceará,CE
Tejuçuoca,Ceará,CE
Tianguá,Ceará,CE
Trairi,Ceará,CE
Tururu,Ceará,CE
Ubajara,Ceará,CE
Umari,Ceará,CE
Umirim,Ceará,CE
Uruburetama,Ceará,CE
Uruoca,Ceará,CE
Varjota,Ceará,CE
Várzea Alegre,Ceará,CE
Viçosa do Ceará,Ceará,CE
