Cidade,Estado,Sigla
Afonso Cláudio,Espírito Santo,ES
Água Doce do Norte,Espírito Santo,ES
Águia Branca,Espírito Santo,ES
Alegre,Espírito Santo,ES
Alfredo Chaves,Espírito Santo,ES
Alto Rio Novo,Espírito Santo,ES
Anchieta,Espírito Santo,ES
Apiacá,Espírito Santo,ES
Aracruz,Espírito Santo,ES
Atilio Vivacqua,Espírito Santo,ES
Baixo Guandu,Espírito Santo,ES
Barra de São Francisco,Espírito Santo,ES
Boa Esperança,Espírito Santo,ES
Bom Jesus do Norte,Espírito Santo,ES
Brejetuba,Espírito Santo,ES
Cachoeiro de Itapemirim,Espírito Santo,ES
Cariacica,Espírito Santo,ES
Castelo,Espírito Santo,ES
Colatina,Espírito Santo,ES
Conceição da Barra,Espírito Santo,ES
Conceição do Castelo,Espírito Santo,ES
Divino de São Lourenço,Espírito Santo,ES
Domingos Martins,Espírito Santo,ES
Dores do Rio Preto,Espírito Santo,ES
Ecoporanga,Espírito Santo,ES
Fundão,Espírito Santo,ES
Governador Lindenberg,Espírito Santo,ES
Guaçuí,Espírito Santo,ES
Guarapari,Espírito Santo,ES
Ibatiba,Espírito Santo,ES
Ibiraçu,Espírito Santo,ES
Ibitirama,Espírito Santo,ES
Iconha,Espírito Santo,ES
Irupi,Espírito Santo,ES
Itaguaçu,Espírito Santo,ES
Itapemirim,Espírito Santo,ES
Itarana,Espírito Santo,ES
Iúna,Espírito Santo,ES
Jaguaré,Espírito Santo,ES
Jerônimo Monteiro,Espírito Santo,ES
João Neiva,Espírito Santo,ES
Laranja da Terra,Espírito Santo,ES
Linhares,Espírito Santo,ES
Mantenópolis,Espírito Santo,ES
Marataízes,Espírito Santo,ES
Marechal Floriano,Espírito Santo,ES
Marilândia,Espírito Santo,ES
Mimoso do Sul,Espírito Santo,ES
Montanha,Espírito Santo,ES
Mucurici,Espírito Santo,ES
Muniz Freire,Espírito Santo,ES
Muqui,Espírito Santo,ES
Nova Venécia,Espírito Santo,ES
Pancas,Espírito Santo,ES
Pedro Canário,Espírito Santo,ES
Pinheiros,Espírito Santo,ES
Piúma,Espírito Santo,ES
Ponto Belo,Espírito Santo,ES
Presidente Kennedy,Espírito Santo,ES
Rio Bananal,Espírito Santo,ES
Rio Novo do Sul,Espírito Santo,ES
Santa Leopoldina,Espírito Santo,ES
Santa Maria de Jetibá,Espírito Santo,ES
Santa Teresa,Espírito Santo,ES
São Domingos do Norte,Espírito Santo,ES
São Gabriel da Palha,Espírito Santo,ES
São José do Calçado,Espírito Santo,ES
São Mateus,Espírito Santo,ES
São Roque do Canaã,Espírito Santo,ES
Serra,Espírito Santo,ES
Sooretama,Espírito Santo,ES
Vargem Alta,Espírito Santo,ES
Venda Nova do Imigrante,Espírito Santo,ES
Viana,Espírito Santo,ES
Vila Pavão,Espírito Santo,ES
Vila Valério,Espírito Santo,ES
Vila Velha,Espírito Santo,ES
Vitória,Espírito Santo,ES
