Cidade,Estado,Sigla
Abadia de Goiás,Goiás,GO
Abadiânia,Goiás,GO
Acreúna,Goiás,GO
Adelândia,Goiás,GO
Água Fria de Goiás,Goiás,GO
Água Limpa,Goiás,GO
Águas Lindas de Goiás,Goiás,GO
Alexânia,Goiás,GO
Aloândia,Goiás,GO
Alto Horizonte,Goiás,GO
Alto Paraíso de Goiás,Goiás,GO
Alvorada do Norte,Goiás,GO
Amaralina,Goiás,GO
Americano do Brasil,Goiás,GO
Amorinópolis,Goiás,GO
Anápolis,Goiás,GO
Anhanguera,Goiás,GO
Anicuns,Goiás,GO
Aparecida de Goiânia,Goiás,GO
Aparecida do Rio Doce,Goiás,GO
Aporé,Goiás,GO
Araçu,Goiás,GO
Aragarças,Goiás,GO
Aragoiânia,Goiás,GO
Araguapaz,Goiás,GO
Arenópolis,Goiás,GO
Aruanã,Goiás,GO
Aurilândia,Goiás,GO
Avelinópolis,Goiás,GO
Baliza,Goiás,GO
Barro Alto,Goiás,GO
Bela Vista de Goiás,Goiás,GO
Bom Jardim de Goiás,Goiás,GO
Bom Jesus de Goiás,Goiás,GO
Bonfinópolis,Goiás,GO
Bonópolis,Goiás,GO
Brazabrantes,Goiás,GO
Britânia,Goiás,GO
Buriti Alegre,Goiás,GO
Buriti de Goiás,Goiás,GO
Buritinópolis,Goiás,GO
Cabeceiras,Goiás,GO
Cachoeira Alta,Goiás,GO
Cachoeira de Goiás,Goiás,GO
Cachoeira Dourada,Goiás,GO
Caçu,Goiás,GO
Caiapônia,Goiás,GO
Caldas Novas,Goiás,GO
Caldazinha,Goiás,GO
Campestre de Goiás,Goiás,GO
Campinaçu,Goiás,GO
Campinorte,Goiás,GO
Campo Alegre de Goiás,Goiás,GO
Campo Limpo de Goiás,Goiás,GO
Campos Belos,Goiás,GO
Campos Verdes,Goiás,GO
Carmo do Rio Verde,Goiás,GO
Castelândia,Goiás,GO
Catalão,Goiás,GO
Caturaí,Goiás,GO
Cavalcante,Goiás,GO
Ceres,Goiás,GO
Cezarina,Goiás,GO
Chapadão do Céu,Goiás,GO
Cidade Ocidental,Goiás,GO
Cocalzinho de Goiás,Goiás,GO
Colinas do Sul,Goiás,GO
Córrego do Ouro,Goiás,GO
Corumbá de Goiás,Goiás,GO
Corumbaíba,Goiás,GO
Cristalina,Goiás,GO
Cristianópolis,Goiás,GO
Crixás,Goiás,GO
Cromínia,Goiás,GO
Cumari,Goiás,GO
Damianópolis,Goiás,GO
Damolândia,Goiás,GO
Davinópolis,Goiás,GO
Diorama,Goiás,GO
Divinópolis de Goiás,Goiás,GO
Doverlândia,Goiás,GO
Edealina,Goiás,GO
Edéia,Goiás,GO
Estrela do Norte,Goiás,GO
Faina,Goiás,GO
Fazenda Nova,Goiás,GO
Firminópolis,Goiás,GO
Flores de Goiás,Goiás,GO
Formosa,Goiás,GO
Formoso,Goiás,GO
Gameleira de Goiás,Goiás,GO
Goianápolis,Goiás,GO
Goiandira,Goiás,GO
Goianésia,Goiás,GO
Goiânia,Goiás,GO
Goianira,Goiás,GO
Goiás,Goiás,GO
Goiatuba,Goiás,GO
Gouvelândia,Goiás,GO
Guapó,Goiás,GO
Guaraíta,Goiás,GO
Guarani de Goiás,Goiás,GO
Guarinos,Goiás,GO
Heitoraí,Goiás,GO
Hidrolândia,Goiás,GO
Hidrolina,Goiás,GO
Iaciara,Goiás,GO
Inaciolândia,Goiás,GO
Indiara,Goiás,GO
Inhumas,Goiás,GO
Ipameri,Goiás,GO
Ipiranga de Goiás,Goiás,GO
Iporá,Goiás,GO
Israelândia,Goiás,GO
Itaberaí,Goiás,GO
Itaguari,Goiás,GO
Itaguaru,Goiás,GO
Itajá,Goiás,GO
Itapaci,Goiás,GO
Itapirapuã,Goiás,GO
Itapuranga,Goiás,GO
Itarumã,Goiás,GO
Itauçu,Goiás,GO
Itumbiara,Goiás,GO
Ivolândia,Goiás,GO
Jandaia,Goiás,GO
Jaraguá,Goiás,GO
Jataí,Goiás,GO
Jaupaci,Goiás,GO
Jesúpolis,Goiás,GO
Joviânia,Goiás,GO
Jussara,Goiás,GO
Lagoa Santa,Goiás,GO
Leopoldo de Bulhões,Goiás,GO
Luziânia,Goiás,GO
Mairipotaba,Goiás,GO
Mambaí,Goiás,GO
Mara Rosa,Goiás,GO
Marzagão,Goiás,GO
Matrinchã,Goiás,GO
Maurilândia,Goiás,GO
Mimoso de Goiás,Goiás,GO
Minaçu,Goiás,GO
Mineiros,Goiás,GO
Moiporá,Goiás,GO
Monte Alegre de Goiás,Goiás,GO
Montes Claros de Goiás,Goiás,GO
Montividiu,Goiás,GO
Montividiu do Norte,Goiás,GO
Morrinhos,Goiás,GO
Morro Agudo de Goiás,Goiás,GO
Mossâmedes,Goiás,GO
Mozarlândia,Goiás,GO
Mundo Novo,Goiás,GO
Mutunópolis,Goiás,GO
Nazário,Goiás,GO
Nerópolis,Goiás,GO
Niquelândia,Goiás,GO
Nova América,Goiás,GO
Nova Aurora,Goiás,GO
Nova Crixás,Goiás,GO
Nova Glória,Goiás,GO
Nova Iguaçu de Goiás,Goiás,GO
Nova Roma,Goiás,GO
Nova Veneza,Goiás,GO
Novo Brasil,Goiás,GO
Novo Gama,Goiás,GO
Novo Planalto,Goiás,GO
Orizona,Goiás,GO
Ouro Verde de Goiás,Goiás,GO
Ouvidor,Goiás,GO
Padre Bernardo,Goiás,GO
Palestina de Goiás,Goiás,GO
Palmeiras de Goiás,Goiás,GO
Palmelo,Goiás,GO
Palminópolis,Goiás,GO
Panamá,Goiás,GO
Paranaiguara,Goiás,GO
Paraúna,Goiás,GO
Perolândia,Goiás,GO
Petrolina de Goiás,Goiás,GO
Pilar de Goiás,Goiás,GO
Piracanjuba,Goiás,GO
Piranhas,Goiás,GO
Pirenópolis,Goiás,GO
Pires do Rio,Goiás,GO
Planaltina,Goiás,GO
Pontalina,Goiás,GO
Porangatu,Goiás,GO
Porteirão,Goiás,GO
Portelândia,Goiás,GO
Posse,Goiás,GO
Professor Jamil,Goiás,GO
Quirinópolis,Goiás,GO
Rialma,Goiás,GO
Rianápolis,Goiás,GO
Rio Quente,Goiás,GO
Rio Verde,Goiás,GO
Rubiataba,Goiás,GO
Sanclerlândia,Goiás,GO
Santa Bárbara de Goiás,Goiás,GO
Santa Cruz de Goiás,Goiás,GO
Santa Fé de Goiás,Goiás,GO
Santa Helena de Goiás,Goiás,GO
Santa Isabel,Goiás,GO
Santa Rita do Araguaia,Goiás,GO
Santa Rita do Novo Destino,Goiás,GO
Santa Rosa de Goiás,Goiás,GO
Santa Tereza de Goiás,Goiás,GO
Santa Terezinha de Goiás,Goiás,GO
Santo Antônio da Barra,Goiás,GO
Santo Antônio de Goiás,Goiás,GO
Santo Antônio do Descoberto,Goiás,GO
São Domingos,Goiás,GO
São Francisco de Goiás,Goiás,GO
São João d'Aliança,Goiás,GO
São João da Paraúna,Goiás,GO
São Luís de Montes Belos,Goiás,GO
São Luiz do Norte,Goiás,GO
São Miguel do Araguaia,Goiás,GO
São Miguel do Passa Quatro,Goiás,GO
São Patrício,Goiás,GO
São Simão,Goiás,GO
Senador Canedo,Goiás,GO
Serranópolis,Goiás,GO
Silvânia,Goiás,GO
Simolândia,Goiás,GO
Sítio d'Abadia,Goiás,GO
Taquaral de Goiás,Goiás,GO
Teresina de Goiás,Goiás,GO
Terezópolis de Goiás,Goiás,GO
Três Ranchos,Goiás,GO
Trindade,Goiás,GO
Trombas,Goiás,GO
Turvânia,Goiás,GO
Turvelândia,Goiás,GO
Uirapuru,Goiás,GO
