Cidade,Estado,Sigla
Açailândia,Maranhão,MA
Afonso Cunha,Maranhão,MA
Água Doce do Maranhão,Maranhão,MA
Alcântara,Maranhão,MA
Aldeias Altas,Maranhão,MA
Altamira do Maranhão,Maranhão,MA
Alto Alegre do Maranhão,Maranhão,MA
Alto Alegre do Pindaré,Maranhão,MA
Alto Parnaíba,Maranhão,MA
Amapá do Maranhão,Maranhão,MA
Amarante do Maranhão,Maranhão,MA
Anajatuba,Maranhão,MA
Anapurus,Maranhão,MA
Apicum-Açu,Maranhão,MA
Araguanã,Maranhão,MA
Araioses,Maranhão,MA
Arame,Maranhão,MA
Arari,Maranhão,MA
Axixá,Maranhão,MA
Bacabal,Maranhão,MA
Bacabeira,Maranhão,MA
Bacuri,Maranhão,MA
Bacurituba,Maranhão,MA
Balsas,Maranhão,MA
Barão de Grajaú,Maranhão,MA
Barra do Corda,Maranhão,MA
Barreirinhas,Maranhão,MA
Bela Vista do Maranhão,Maranhão,MA
Belágua,Maranhão,MA
Benedito Leite,Maranhão,MA
Bequimão,Maranhão,MA
Bernardo do Mearim,Maranhão,MA
Boa Vista do Gurupi,Maranhão,MA
Bom Jardim,Maranhão,MA
Bom Jesus das Selvas,Maranhão,MA
Bom Lugar,Maranhão,MA
Brejo,Maranhão,MA
Brejo de Areia,Maranhão,MA
Buriti,Maranhão,MA
Buriti Bravo,Maranhão,MA
Buriticupu,Maranhão,MA
Buritirana,Maranhão,MA
Cachoeira Grande,Maranhão,MA
Cajapió,Maranhão,MA
Cajari,Maranhão,MA
Campestre do Maranhão,Maranhão,MA
Cândido Mendes,Maranhão,MA
Cantanhede,Maranhão,MA
Capinzal do Norte,Maranhão,MA
Carolina,Maranhão,MA
Carutapera,Maranhão,MA
Caxias,Maranhão,MA
Cedral,Maranhão,MA
Central do Maranhão,Maranhão,MA
Centro do Guilherme,Maranhão,MA
Centro Novo do Maranhão,Maranhão,MA
Chapadinha,Maranhão,MA
Cidelândia,Maranhão,MA
Codó,Maranhão,MA
Coelho Neto,Maranhão,MA
Colinas,Maranhão,MA
Conceição do Lago-Açu,Maranhão,MA
Coroatá,Maranhão,MA
Cururupu,Maranhão,MA
Davinópolis,Maranhão,MA
Dom Pedro,Maranhão,MA
Duque Bacelar,Maranhão,MA
Esperantinópolis,Maranhão,MA
Estreito,Maranhão,MA
Feira Nova do Maranhão,Maranhão,MA
Fernando Falcão,Maranhão,MA
Formosa da Serra Negra,Maranhão,MA
Fortaleza dos Nogueiras,Maranhão,MA
Fortuna,Maranhão,MA
Godofredo Viana,Maranhão,MA
Gonçalves Dias,Maranhão,MA
Governador Archer,Maranhão,MA
Governador Edison Lobão,Maranhão,MA
Governador Eugênio Barros,Maranhão,MA
Governador Luiz Rocha,Maranhão,MA
Governador Newton Bello,Maranhão,MA
