Cidade,Estado,Sigla
Abadia dos Dourados,Minas Gerais,MG
Abaeté,Minas Gerais,MG
Abre Campo,Minas Gerais,MG
Acaiaca,Minas Gerais,MG
Açucena,Minas Gerais,MG
Água Boa,Minas Gerais,MG
Água Comprida,Minas Gerais,MG
Aguanil,Minas Gerais,MG
Águas Formosas,Minas Gerais,MG
Águas Vermelhas,Minas Gerais,MG
Aimorés,Minas Gerais,MG
Aiuruoca,Minas Gerais,MG
Alagoa,Minas Gerais,MG
Albertina,Minas Gerais,MG
Além Paraíba,Minas Gerais,MG
Alfenas,Minas Gerais,MG
Alfredo Vasconcelos,Minas Gerais,MG
Almenara,Minas Gerais,MG
Alpercata,Minas Gerais,MG
Alpinópolis,Minas Gerais,MG
Alterosa,Minas Gerais,MG
Alto Caparaó,Minas Gerais,MG
Alto Jequitibá,Minas Gerais,MG
Alto Rio Doce,Minas Gerais,MG
Alvarenga,Minas Gerais,MG
Alvinópolis,Minas Gerais,MG
Alvorada de Minas,Minas Gerais,MG
Amparo do Serra,Minas Gerais,MG
Andradas,Minas Gerais,MG
Andrelândia,Minas Gerais,MG
Angelândia,Minas Gerais,MG
Antônio Carlos,Minas Gerais,MG
Antônio Dias,Minas Gerais,MG
Antônio Prado de Minas,Minas Gerais,MG
Araçaí,Minas Gerais,MG
Aracitaba,Minas Gerais,MG
Araçuaí,Minas Gerais,MG
Araguari,Minas Gerais,MG
Arantina,Minas Gerais,MG
Araponga,Minas Gerais,MG
Araporã,Minas Gerais,MG
Arapuá,Minas Gerais,MG
Araújos,Minas Gerais,MG
Araxá,Minas Gerais,MG
Arceburgo,Minas Gerais,MG
Arcos,Minas Gerais,MG
Areado,Minas Gerais,MG
Argirita,Minas Gerais,MG
Aricanduva,Minas Gerais,MG
Arinos,Minas Gerais,MG
Astolfo Dutra,Minas Gerais,MG
Ataléia,Minas Gerais,MG
Augusto de Lima,Minas Gerais,MG
Baependi,Minas Gerais,MG
Baldim,Minas Gerais,MG
Bambuí,Minas Gerais,MG
Bandeira,Minas Gerais,MG
Bandeira do Sul,Minas Gerais,MG
Barão de Cocais,Minas Gerais,MG
Barão de Monte Alto,Minas Gerais,MG
Barbacena,Minas Gerais,MG
Barra Longa,Minas Gerais,MG
Barroso,Minas Gerais,MG
Bela Vista de Minas,Minas Gerais,MG
Belmiro Braga,Minas Gerais,MG
Belo Horizonte,Minas Gerais,MG
Belo Oriente,Minas Gerais,MG
Belo Vale,Minas Gerais,MG
Berilo,Minas Gerais,MG
Berizal,Minas Gerais,MG
Bertópolis,Minas Gerais,MG
Betim,Minas Gerais,MG
Bias Fortes,Minas Gerais,MG
Bicas,Minas Gerais,MG
Biquinhas,Minas Gerais,MG
Boa Esperança,Minas Gerais,MG
Bocaina de Minas,Minas Gerais,MG
Bocaiúva,Minas Gerais,MG
Bom Despacho,Minas Gerais,MG
Bom Jardim de Minas,Minas Gerais,MG
Bom Jesus da Penha,Minas Gerais,MG
Bom Jesus do Amparo,Minas Gerais,MG
Bom Jesus do Galho,Minas Gerais,MG
Bom Repouso,Minas Gerais,MG
Bom Sucesso,Minas Gerais,MG
Bonfim,Minas Gerais,MG
Bonfinópolis de Minas,Minas Gerais,MG
Bonito de Minas,Minas Gerais,MG
Borda da Mata,Minas Gerais,MG
Botelhos,Minas Gerais,MG
Botumirim,Minas Gerais,MG
Brás Pires,Minas Gerais,MG
Brasilândia de Minas,Minas Gerais,MG
Brasília de Minas,Minas Gerais,MG
Braúnas,Minas Gerais,MG
Brazópolis,Minas Gerais,MG
Brumadinho,Minas Gerais,MG
Bueno Brandão,Minas Gerais,MG
Buenópolis,Minas Gerais,MG
Bugre,Minas Gerais,MG
Buritis,Minas Gerais,MG
Buritizeiro,Minas Gerais,MG
Cabeceira Grande,Minas Gerais,MG
Cabo Verde,Minas Gerais,MG
Cachoeira da Prata,Minas Gerais,MG
Cachoeira de Minas,Minas Gerais,MG
Cachoeira de Pajeú,Minas Gerais,MG
Cachoeira Dourada,Minas Gerais,MG
Caetanópolis,Minas Gerais,MG
Caeté,Minas Gerais,MG
Caiana,Minas Gerais,MG
Cajuri,Minas Gerais,MG
Caldas,Minas Gerais,MG
Camacho,Minas Gerais,MG
Camanducaia,Minas Gerais,MG
Cambuí,Minas Gerais,MG
Cambuquira,Minas Gerais,MG
Campanário,Minas Gerais,MG
Campanha,Minas Gerais,MG
Campestre,Minas Gerais,MG
Campina Verde,Minas Gerais,MG
Campo Azul,Minas Gerais,MG
Campo Belo,Minas Gerais,MG
Campo do Meio,Minas Gerais,MG
Campo Florido,Minas Gerais,MG
Campos Altos,Minas Gerais,MG
Campos Gerais,Minas Gerais,MG
Cana Verde,Minas Gerais,MG
Canaã,Minas Gerais,MG
Canápolis,Minas Gerais,MG
Candeias,Minas Gerais,MG
Cantagalo,Minas Gerais,MG
Caparaó,Minas Gerais,MG
Capela Nova,Minas Gerais,MG
Capelinha,Minas Gerais,MG
Capetinga,Minas Gerais,MG
Capim Branco,Minas Gerais,MG
Capinópolis,Minas Gerais,MG
Capitão Andrade,Minas Gerais,MG
Capitão Enéas,Minas Gerais,MG
Capitólio,Minas Gerais,MG
Caputira,Minas Gerais,MG
Caraí,Minas Gerais,MG
Caranaíba,Minas Gerais,MG
Carandaí,Minas Gerais,MG
Carangola,Minas Gerais,MG
Caratinga,Minas Gerais,MG
Carbonita,Minas Gerais,MG
Careaçu,Minas Gerais,MG
Carlos Chagas,Minas Gerais,MG
Carmésia,Minas Gerais,MG
Carmo da Cachoeira,Minas Gerais,MG
Carmo da Mata,Minas Gerais,MG
Carmo de Minas,Minas Gerais,MG
Carmo do Cajuru,Minas Gerais,MG
Carmo do Paranaíba,Minas Gerais,MG
Carmo do Rio Claro,Minas Gerais,MG
Carmópolis de Minas,Minas Gerais,MG
Carneirinho,Minas Gerais,MG
Carrancas,Minas Gerais,MG
Carvalhópolis,Minas Gerais,MG
Carvalhos,Minas Gerais,MG
Casa Grande,Minas Gerais,MG
Cascalho Rico,Minas Gerais,MG
Cássia,Minas Gerais,MG
Cataguases,Minas Gerais,MG
Catas Altas,Minas Gerais,MG
Catas Altas da Noruega,Minas Gerais,MG
Catuji,Minas Gerais,MG
Catuti,Minas Gerais,MG
Caxambu,Minas Gerais,MG
Cedro do Abaeté,Minas Gerais,MG
Central de Minas,Minas Gerais,MG
Centralina,Minas Gerais,MG
Chácara,Minas Gerais,MG
Chalé,Minas Gerais,MG
Chapada do Norte,Minas Gerais,MG
Chapada Gaúcha,Minas Gerais,MG
Chiador,Minas Gerais,MG
Cipotânea,Minas Gerais,MG
Claraval,Minas Gerais,MG
Claro dos Poções,Minas Gerais,MG
Cláudio,Minas Gerais,MG
Coimbra,Minas Gerais,MG
Coluna,Minas Gerais,MG
Comendador Gomes,Minas Gerais,MG
Comercinho,Minas Gerais,MG
Conceição da Aparecida,Minas Gerais,MG
Conceição da Barra de Minas,Minas Gerais,MG
Conceição das Alagoas,Minas Gerais,MG
Conceição das Pedras,Minas Gerais,MG
Conceição de Ipanema,Minas Gerais,MG
Conceição do Mato Dentro,Minas Gerais,MG
Conceição do Pará,Minas Gerais,MG
Conceição do Rio Verde,Minas Gerais,MG
Conceição dos Ouros,Minas Gerais,MG
Cônego Marinho,Minas Gerais,MG
Confins,Minas Gerais,MG
Congonhal,Minas Gerais,MG
Congonhas,Minas Gerais,MG
Congonhas do Norte,Minas Gerais,MG
Conquista,Minas Gerais,MG
Conselheiro Lafaiete,Minas Gerais,MG
Conselheiro Pena,Minas Gerais,MG
Consolação,Minas Gerais,MG
Contagem,Minas Gerais,MG
Coqueiral,Minas Gerais,MG
Coração de Jesus,Minas Gerais,MG
Cordisburgo,Minas Gerais,MG
Cordislândia,Minas Gerais,MG
Corinto,Minas Gerais,MG
Coroaci,Minas Gerais,MG
Coromandel,Minas Gerais,MG
Coronel Fabriciano,Minas Gerais,MG
Coronel Murta,Minas Gerais,MG
Coronel Pacheco,Minas Gerais,MG
Coronel Xavier Chaves,Minas Gerais,MG
Córrego Danta,Minas Gerais,MG
Córrego do Bom Jesus,Minas Gerais,MG
Córrego Fundo,Minas Gerais,MG
Córrego Novo,Minas Gerais,MG
Couto de Magalhães de Minas,Minas Gerais,MG
Crisólita,Minas Gerais,MG
Cristais,Minas Gerais,MG
Cristália,Minas Gerais,MG
