Cidade,Estado,Sigla
Água Clara,Mato Grosso do Sul,MS
Alcinópolis,Mato Grosso do Sul,MS
Amambai,Mato Grosso do Sul,MS
Anastácio,Mato Grosso do Sul,MS
Anaurilândia,Mato Grosso do Sul,MS
Angélica,Mato Grosso do Sul,MS
Antônio João,Mato Grosso do Sul,MS
Aparecida do Taboado,Mato Grosso do Sul,MS
Aquidauana,Mato Grosso do Sul,MS
Aral Moreira,Mato Grosso do Sul,MS
Bandeirantes,Mato Grosso do Sul,MS
Bataguassu,Mato Grosso do Sul,MS
Batayporã,Mato Grosso do Sul,MS
Bela Vista,Mato Grosso do Sul,MS
Bodoquena,Mato Grosso do Sul,MS
Bonito,Mato Grosso do Sul,MS
Brasilândia,Mato Grosso do Sul,MS
Caarapó,Mato Grosso do Sul,MS
Camapuã,Mato Grosso do Sul,MS
Campo Grande,Mato Grosso do Sul,MS
Caracol,Mato Grosso do Sul,MS
Cassilândia,Mato Grosso do Sul,MS
Chapadão do Sul,Mato Grosso do Sul,MS
Corguinho,Mato Grosso do Sul,MS
Coronel Sapucaia,Mato Grosso do Sul,MS
Corumbá,Mato Grosso do Sul,MS
Costa Rica,Mato Grosso do Sul,MS
Coxim,Mato Grosso do Sul,MS
Deodápolis,Mato Grosso do Sul,MS
Dois Irmãos do Buriti,Mato Grosso do Sul,MS
Douradina,Mato Grosso do Sul,MS
Dourados,Mato Grosso do Sul,MS
Eldorado,Mato Grosso do Sul,MS
Fátima do Sul,Mato Grosso do Sul,MS
Figueirão,Mato Grosso do Sul,MS
Glória de Dourados,Mato Grosso do Sul,MS
Guia Lopes da Laguna,Mato Grosso do Sul,MS
Iguatemi,Mato Grosso do Sul,MS
Inocência,Mato Grosso do Sul,MS
Itaporã,Mato Grosso do Sul,MS
Itaquiraí,Mato Grosso do Sul,MS
Ivinhema,Mato Grosso do Sul,MS
Japorã,Mato Grosso do Sul,MS
Jaraguari,Mato Grosso do Sul,MS
Jardim,Mato Grosso do Sul,MS
Jateí,Mato Grosso do Sul,MS
Juti,Mato Grosso do Sul,MS
Ladário,Mato Grosso do Sul,MS
Laguna Carapã,Mato Grosso do Sul,MS
Maracaju,Mato Grosso do Sul,MS
Miranda,Mato Grosso do Sul,MS
Mundo Novo,Mato Grosso do Sul,MS
Naviraí,Mato Grosso do Sul,MS
Nioaque,Mato Grosso do Sul,MS
Nova Alvorada do Sul,Mato Grosso do Sul,MS
Nova Andradina,Mato Grosso do Sul,MS
Novo Horizonte do Sul,Mato Grosso do Sul,MS
Paraíso das Águas,Mato Grosso do Sul,MS
Paranaíba,Mato Grosso do Sul,MS
Paranhos,Mato Grosso do Sul,MS
Pedro Gomes,Mato Grosso do Sul,MS
Ponta Porã,Mato Grosso do Sul,MS
Porto Murtinho,Mato Grosso do Sul,MS
Ribas do Rio Pardo,Mato Grosso do Sul,MS
Rio Brilhante,Mato Grosso do Sul,MS
Rio Negro,Mato Grosso do Sul,MS
Rio Verde de Mato Grosso,Mato Grosso do Sul,MS
Rochedo,Mato Grosso do Sul,MS
Santa Rita do Pardo,Mato Grosso do Sul,MS
São Gabriel do Oeste,Mato Grosso do Sul,MS
Selvíria,Mato Grosso do Sul,MS
Sete Quedas,Mato Grosso do Sul,MS
Sidrolândia,Mato Grosso do Sul,MS
Sonora,Mato Grosso do Sul,MS
Tacuru,Mato Grosso do Sul,MS
Taquarussu,Mato Grosso do Sul,MS
Terenos,Mato Grosso do Sul,MS
Três Lagoas,Mato Grosso do Sul,MS
Vicentina,Mato Grosso do Sul,MS
