Cidade,Estado,Sigla
Abaetetuba,Pará,PA
Abel Figueiredo,Pará,PA
Acará,Pará,PA
Afuá,Pará,PA
Água Azul do Norte,Pará,PA
Alenquer,Pará,PA
Almeirim,Pará,PA
Altamira,Pará,PA
Anajás,Pará,PA
Ananindeua,Pará,PA
Anapu,Pará,PA
Augusto Corrêa,Pará,PA
Aurora do Pará,Pará,PA
Aveiro,Pará,PA
Bagre,Pará,PA
Baião,Pará,PA
Bannach,Pará,PA
Barcarena,Pará,PA
Belém,Pará,PA
Belterra,Pará,PA
Benevides,Pará,PA
Bom Jesus do Tocantins,Pará,PA
Bonito,Pará,PA
Bragança,Pará,PA
Brasil Novo,Pará,PA
Brejo Grande do Araguaia,Pará,PA
Breu Branco,Pará,PA
Breves,Pará,PA
Bujaru,Pará,PA
Cachoeira do Arari,Pará,PA
Cachoeira do Piriá,Pará,PA
Cametá,Pará,PA
Canaã dos Carajás,Pará,PA
Capanema,Pará,PA
Capitão Poço,Pará,PA
Castanhal,Pará,PA
Chaves,Pará,PA
Colares,Pará,PA
Conceição do Araguaia,Pará,PA
Concórdia do Pará,Pará,PA
Cumaru do Norte,Pará,PA
Curionópolis,Pará,PA
Curralinho,Pará,PA
Curuá,Pará,PA
Curuçá,Pará,PA
Dom Eliseu,Pará,PA
Eldorado do Carajás,Pará,PA
Faro,Pará,PA
Floresta do Araguaia,Pará,PA
Garrafão do Norte,Pará,PA
Goianésia do Pará,Pará,PA
Gurupá,Pará,PA
Igarapé-Açu,Pará,PA
Igarapé-Miri,Pará,PA
Inhangapi,Pará,PA
Ipixuna do Pará,Pará,PA
Irituia,Pará,PA
Itaituba,Pará,PA
Itupiranga,Pará,PA
Jacareacanga,Pará,PA
Jacundá,Pará,PA
Juruti,Pará,PA
Limoeiro do Ajuru,Pará,PA
Mãe do Rio,Pará,PA
Magalhães Barata,Pará,PA
Marabá,Pará,PA
Maracanã,Pará,PA
Marapanim,Pará,PA
Marituba,Pará,PA
Medicilândia,Pará,PA
Melgaço,Pará,PA
Mocajuba,Pará,PA
Moju,Pará,PA
Mojuí dos Campos,Pará,PA
Monte Alegre,Pará,PA
Muaná,Pará,PA
Nova Esperança do Piriá,Pará,PA
Nova Ipixuna,Pará,PA
Nova Timboteua,Pará,PA
Novo Progresso,Pará,PA
Novo Repartimento,Pará,PA
Óbidos,Pará,PA
Oeiras do Pará,Pará,PA
Oriximiná,Pará,PA
Ourém,Pará,PA
Ourilândia do Norte,Pará,PA
Pacajá,Pará,PA
Palestina do Pará,Pará,PA
Paragominas,Pará,PA
Parauapebas,Pará,PA
Pau d'Arco,Pará,PA
Peixe-Boi,Pará,PA
Piçarra,Pará,PA
Placas,Pará,PA
Ponta de Pedras,Pará,PA
Portel,Pará,PA
Porto de Moz,Pará,PA
Prainha,Pará,PA
Primavera,Pará,PA
Quatipuru,Pará,PA
Redenção,Pará,PA
Rio Maria,Pará,PA
Rondon do Pará,Pará,PA
Rurópolis,Pará,PA
Salinópolis,Pará,PA
Salvaterra,Pará,PA
Santa Bárbara do Pará,Pará,PA
Santa Cruz do Arari,Pará,PA
Santa Izabel do Pará,Pará,PA
Santa Luzia do Pará,Pará,PA
Santa Maria das Barreiras,Pará,PA
Santa Maria do Pará,Pará,PA
Santana do Araguaia,Pará,PA
Santarém,Pará,PA
Santarém Novo,Pará,PA
Santo Antônio do Tauá,Pará,PA
São Caetano de Odivelas,Pará,PA
São Domingos do Araguaia,Pará,PA
São Domingos do Capim,Pará,PA
São Félix do Xingu,Pará,PA
São Francisco do Pará,Pará,PA
São Geraldo do Araguaia,Pará,PA
São João da Ponta,Pará,PA
São João de Pirabas,Pará,PA
São João do Araguaia,Pará,PA
São Miguel do Guamá,Pará,PA
São Sebastião da Boa Vista,Pará,PA
Sapucaia,Pará,PA
Senador José Porfírio,Pará,PA
Soure,Pará,PA
Tailândia,Pará,PA
Terra Alta,Pará,PA
Terra Santa,Pará,PA
Tomé-Açu,Pará,PA
Tracuateua,Pará,PA
Trairão,Pará,PA
Tucumã,Pará,PA
Tucuruí,Pará,PA
Ulianópolis,Pará,PA
Uruará,Pará,PA
Vigia,Pará,PA
Viseu,Pará,PA
Vitória do Xingu,Pará,PA
Xinguara,Pará,PA
