Cidade,Estado,Sigla
Água Branca,Paraíba,PB
Aguiar,Paraíba,PB
Alagoa Grande,Paraíba,PB
Alagoa Nova,Paraíba,PB
Alagoinha,Paraíba,PB
Alcantil,Paraíba,PB
Algodão de Jandaíra,Paraíba,PB
Alhandra,Paraíba,PB
Amparo,Paraíba,PB
Aparecida,Paraíba,PB
Araçagi,Paraíba,PB
Arara,Paraíba,PB
Araruna,Paraíba,PB
Areia,Paraíba,PB
Areia de Baraúnas,Paraíba,PB
Areial,Paraíba,PB
Aroeiras,Paraíba,PB
Assunção,Paraíba,PB
Baía da Traição,Paraíba,PB
Bananeiras,Paraíba,PB
Baraúna,Paraíba,PB
Barra de Santa Rosa,Paraíba,PB
Barra de Santana,Paraíba,PB
Barra de São Miguel,Paraíba,PB
Bayeux,Paraíba,PB
Belém,Paraíba,PB
Belém do Brejo do Cruz,Paraíba,PB
Bernardino Batista,Paraíba,PB
Boa Ventura,Paraíba,PB
Boa Vista,Paraíba,PB
Bom Jesus,Paraíba,PB
Bom Sucesso,Paraíba,PB
Bonito de Santa Fé,Paraíba,PB
Boqueirão,Paraíba,PB
Borborema,Paraíba,PB
Brejo do Cruz,Paraíba,PB
Brejo dos Santos,Paraíba,PB
Caaporã,Paraíba,PB
Cabaceiras,Paraíba,PB
Cabedelo,Paraíba,PB
Cachoeira dos Índios,Paraíba,PB
Cacimba de Areia,Paraíba,PB
Cacimba de Dentro,Paraíba,PB
Cacimbas,Paraíba,PB
Caiçara,Paraíba,PB
Cajazeiras,Paraíba,PB
Cajazeirinhas,Paraíba,PB
Caldas Brandão,Paraíba,PB
Camalaú,Paraíba,PB
Campina Grande,Paraíba,PB
Capim,Paraíba,PB
Caraúbas,Paraíba,PB
Carrapateira,Paraíba,PB
Casserengue,Paraíba,PB
Catingueira,Paraíba,PB
Catolé do Rocha,Paraíba,PB
Caturité,Paraíba,PB
Conceição,Paraíba,PB
Condado,Paraíba,PB
Conde,Paraíba,PB
Congo,Paraíba,PB
Coremas,Paraíba,PB
Coxixola,Paraíba,PB
Cruz do Espírito Santo,Paraíba,PB
Cubati,Paraíba,PB
Cuité,Paraíba,PB
Cuité de Mamanguape,Paraíba,PB
Cuitegi,Paraíba,PB
Curral de Cima,Paraíba,PB
Curral Velho,Paraíba,PB
Damião,Paraíba,PB
Desterro,Paraíba,PB
Diamante,Paraíba,PB
Dona Inês,Paraíba,PB
Duas Estradas,Paraíba,PB
Emas,Paraíba,PB
Esperança,Paraíba,PB
Fagundes,Paraíba,PB
Frei Martinho,Paraíba,PB
Gado Bravo,Paraíba,PB
Guarabira,Paraíba,PB
Gurinhém,Paraíba,PB
Gurjão,Paraíba,PB
Ibiara,Paraíba,PB
Igaracy,Paraíba,PB
Imaculada,Paraíba,PB
Ingá,Paraíba,PB
Itabaiana,Paraíba,PB
Itaporanga,Paraíba,PB
Itapororoca,Paraíba,PB
Itatuba,Paraíba,PB
Jacaraú,Paraíba,PB
Jericó,Paraíba,PB
João Pessoa,Paraíba,PB
Joca Claudino,Paraíba,PB
