Cidade,Estado,Sigla
Abreu e Lima,Pernambuco,PE
Afogados da Ingazeira,Pernambuco,PE
Afrânio,Pernambuco,PE
Agrestina,Pernambuco,PE
Água Preta,Pernambuco,PE
Águas Belas,Pernambuco,PE
Alagoinha,Pernambuco,PE
Aliança,Pernambuco,PE
Altinho,Pernambuco,PE
Amaraji,Pernambuco,PE
Angelim,Pernambuco,PE
Araçoiaba,Pernambuco,PE
Araripina,Pernambuco,PE
Arcoverde,Pernambuco,PE
Barra de Guabiraba,Pernambuco,PE
Barreiros,Pernambuco,PE
Belém de Maria,Pernambuco,PE
Belém do São Francisco,Pernambuco,PE
Belo Jardim,Pernambuco,PE
Betânia,Pernambuco,PE
Bezerros,Pernambuco,PE
Bodocó,Pernambuco,PE
Bom Conselho,Pernambuco,PE
Bom Jardim,Pernambuco,PE
Bonito,Pernambuco,PE
Brejão,Pernambuco,PE
Brejinho,Pernambuco,PE
Brejo da Madre de Deus,Pernambuco,PE
Buenos Aires,Pernambuco,PE
Buíque,Pernambuco,PE
Cabo de Santo Agostinho,Pernambuco,PE
Cabrobó,Pernambuco,PE
Cachoeirinha,Pernambuco,PE
Caetés,Pernambuco,PE
Calçado,Pernambuco,PE
Calumbi,Pernambuco,PE
Camaragibe,Pernambuco,PE
Camocim de São Félix,Pernambuco,PE
Camutanga,Pernambuco,PE
Canhotinho,Pernambuco,PE
Capoeiras,Pernambuco,PE
Carnaíba,Pernambuco,PE
Carnaubeira da Penha,Pernambuco,PE
Carpina,Pernambuco,PE
Caruaru,Pernambuco,PE
Casinhas,Pernambuco,PE
Catende,Pernambuco,PE
Cedro,Pernambuco,PE
Chã de Alegria,Pernambuco,PE
Chã Grande,Pernambuco,PE
Condado,Pernambuco,PE
Correntes,Pernambuco,PE
Cortês,Pernambuco,PE
Cumaru,Pernambuco,PE
Cupira,Pernambuco,PE
Custódia,Pernambuco,PE
Dormentes,Pernambuco,PE
Escada,Pernambuco,PE
Exu,Pernambuco,PE
Feira Nova,Pernambuco,PE
Fernando de Noronha,Pernambuco,PE
Ferreiros,Pernambuco,PE
Flores,Pernambuco,PE
Floresta,Pernambuco,PE
Frei Miguelinho,Pernambuco,PE
Gameleira,Pernambuco,PE
Garanhuns,Pernambuco,PE
Glória do Goitá,Pernambuco,PE
Goiana,Pernambuco,PE
Granito,Pernambuco,PE
Gravatá,Pernambuco,PE
Iati,Pernambuco,PE
Ibimirim,Pernambuco,PE
Ibirajuba,Pernambuco,PE
Igarassu,Pernambuco,PE
Iguaracy,Pernambuco,PE
Ilha de Itamaracá,Pernambuco,PE
Inajá,Pernambuco,PE
Ingazeira,Pernambuco,PE
Ipojuca,Pernambuco,PE
Ipubi,Pernambuco,PE
Itacuruba,Pernambuco,PE
Itaíba,Pernambuco,PE
Itambé,Pernambuco,PE
Itapetim,Pernambuco,PE
Itapissuma,Pernambuco,PE
Itaquitinga,Pernambuco,PE
Jaboatão dos Guararapes,Pernambuco,PE
Jaqueira,Pernambuco,PE
Jataúba,Pernambuco,PE
Jatobá,Pernambuco,PE
João Alfredo,Pernambuco,PE
Joaquim Nabuco,Pernambuco,PE
Jucati,Pernambuco,PE
Jupi,Pernambuco,PE
Jurema,Pernambuco,PE
Lagoa de Itaenga,Pernambuco,PE
Lagoa do Carro,Pernambuco,PE
Lagoa do Ouro,Pernambuco,PE
Lagoa dos Gatos,Pernambuco,PE
Lagoa Grande,Pernambuco,PE
Lajedo,Pernambuco,PE
Limoeiro,Pernambuco,PE
Macaparana,Pernambuco,PE
Machados,Pernambuco,PE
Manari,Pernambuco,PE
Maraial,Pernambuco,PE
Mirandiba,Pernambuco,PE
Moreilândia,Pernambuco,PE
Moreno,Pernambuco,PE
Nazaré da Mata,Pernambuco,PE
Olinda,Pernambuco,PE
Orobó,Pernambuco,PE
Orocó,Pernambuco,PE
Ouricuri,Pernambuco,PE
Palmares,Pernambuco,PE
Palmeirina,Pernambuco,PE
Panelas,Pernambuco,PE
Paranatama,Pernambuco,PE
Parnamirim,Pernambuco,PE
Passira,Pernambuco,PE
Paudalho,Pernambuco,PE
Paulista,Pernambuco,PE
Pedra,Pernambuco,PE
Pesqueira,Pernambuco,PE
Petrolândia,Pernambuco,PE
Petrolina,Pernambuco,PE
Poção,Pernambuco,PE
Pombos,Pernambuco,PE
Primavera,Pernambuco,PE
Quipapá,Pernambuco,PE
Quixaba,Pernambuco,PE
Recife,Pernambuco,PE
Riacho das Almas,Pernambuco,PE
Ribeirão,Pernambuco,PE
Rio Formoso,Pernambuco,PE
Sairé,Pernambuco,PE
Salgadinho,Pernambuco,PE
Salgueiro,Pernambuco,PE
Saloá,Pernambuco,PE
Sanharó,Pernambuco,PE
Santa Cruz,Pernambuco,PE
Santa Cruz da Baixa Verde,Pernambuco,PE
Santa Cruz do Capibaribe,Pernambuco,PE
Santa Filomena,Pernambuco,PE
Santa Maria da Boa Vista,Pernambuco,PE
Santa Maria do Cambucá,Pernambuco,PE
Santa Terezinha,Pernambuco,PE
São Benedito do Sul,Pernambuco,PE
São Bento do Una,Pernambuco,PE
São Caetano,Pernambuco,PE
São João,Pernambuco,PE
São Joaquim do Monte,Pernambuco,PE
São José da Coroa Grande,Pernambuco,PE
São José do Belmonte,Pernambuco,PE
São José do Egito,Pernambuco,PE
São Lourenço da Mata,Pernambuco,PE
São Vicente Ferrer,Pernambuco,PE
Serra Talhada,Pernambuco,PE
Serrita,Pernambuco,PE
Sertânia,Pernambuco,PE
Sirinhaém,Pernambuco,PE
Solidão,Pernambuco,PE
Surubim,Pernambuco,PE
Tabira,Pernambuco,PE
Tacaimbó,Pernambuco,PE
Tacaratu,Pernambuco,PE
Tamandaré,Pernambuco,PE
Taquaritinga do Norte,Pernambuco,PE
Terezinha,Pernambuco,PE
Terra Nova,Pernambuco,PE
Timbaúba,Pernambuco,PE
Toritama,Pernambuco,PE
Tracunhaém,Pernambuco,PE
Trindade,Pernambuco,PE
Triunfo,Pernambuco,PE
Tupanatinga,Pernambuco,PE
Tuparetama,Pernambuco,PE
Venturosa,Pernambuco,PE
Verdejante,Pernambuco,PE
Vertente do Lério,Pernambuco,PE
Vertentes,Pernambuco,PE
Vicência,Pernambuco,PE
Vitória de Santo Antão,Pernambuco,PE
Xexéu,Pernambuco,PE
