Cidade,Estado,Sigla
Acauã,Piauí,PI
Agricolândia,Piauí,PI
Água Branca,Piauí,PI
Alagoinha do Piauí,Piauí,PI
Alegrete do Piauí,Piauí,PI
Alto Longá,Piauí,PI
Altos,Piauí,PI
Alvorada do Gurguéia,Piauí,PI
Amarante,Piauí,PI
Angical do Piauí,Piauí,PI
Anísio de Abreu,Piauí,PI
Antônio Almeida,Piauí,PI
Aroazes,Piauí,PI
Aroeiras do Itaim,Piauí,PI
Arraial,Piauí,PI
Assunção do Piauí,Piauí,PI
Avelino Lopes,Piauí,PI
Baixa Grande do Ribeiro,Piauí,PI
Barra D'Alcântara,Piauí,PI
Barras,Piauí,PI
Barreiras do Piauí,Piauí,PI
Barro Duro,Piauí,PI
Batalha,Piauí,PI
Bela Vista do Piauí,Piauí,PI
Belém do Piauí,Piauí,PI
Beneditinos,Piauí,PI
Bertolínia,Piauí,PI
Betânia do Piauí,Piauí,PI
Boa Hora,Piauí,PI
Bocaina,Piauí,PI
Bom Jesus,Piauí,PI
Bom Princípio do Piauí,Piauí,PI
Bonfim do Piauí,Piauí,PI
Boqueirão do Piauí,Piauí,PI
Brasileira,Piauí,PI
Brejo do Piauí,Piauí,PI
Buriti dos Lopes,Piauí,PI
Buriti dos Montes,Piauí,PI
Cabeceiras do Piauí,Piauí,PI
Cajazeiras do Piauí,Piauí,PI
Cajueiro da Praia,Piauí,PI
Caldeirão Grande do Piauí,Piauí,PI
Campinas do Piauí,Piauí,PI
Campo Alegre do Fidalgo,Piauí,PI
Campo Grande do Piauí,Piauí,PI
Campo Largo do Piauí,Piauí,PI
Campo Maior,Piauí,PI
Canavieira,Piauí,PI
Canto do Buriti,Piauí,PI
Capitão de Campos,Piauí,PI
Capitão Gervásio Oliveira,Piauí,PI
Caracol,Piauí,PI
Caraúbas do Piauí,Piauí,PI
Caridade do Piauí,Piauí,PI
Castelo do Piauí,Piauí,PI
Caxingó,Piauí,PI
Cocal,Piauí,PI
Cocal de Telha,Piauí,PI
Cocal dos Alves,Piauí,PI
Coivaras,Piauí,PI
Colônia do Gurguéia,Piauí,PI
Colônia do Piauí,Piauí,PI
Conceição do Canindé,Piauí,PI
Coronel José Dias,Piauí,PI
Corrente,Piauí,PI
Cristalândia do Piauí,Piauí,PI
Cristino Castro,Piauí,PI
Curimatá,Piauí,PI
Currais,Piauí,PI
Curral Novo do Piauí,Piauí,PI
Curralinhos,Piauí,PI
Demerval Lobão,Piauí,PI
Dirceu Arcoverde,Piauí,PI
Dom Expedito Lopes,Piauí,PI
Dom Inocêncio,Piauí,PI
Domingos Mourão,Piauí,PI
Elesbão Veloso,Piauí,PI
Eliseu Martins,Piauí,PI
Esperantina,Piauí,PI
Fartura do Piauí,Piauí,PI
Flores do Piauí,Piauí,PI
Floresta do Piauí,Piauí,PI
Floriano,Piauí,PI
Francinópolis,Piauí,PI
Francisco Ayres,Piauí,PI
Francisco Macedo,Piauí,PI
Francisco Santos,Piauí,PI
Fronteiras,Piauí,PI
Geminiano,Piauí,PI
Gilbués,Piauí,PI
Guadalupe,Piauí,PI
Guaribas,Piauí,PI
Hugo Napoleão,Piauí,PI
Ilha Grande,Piauí,PI
Inhuma,Piauí,PI
Ipiranga do Piauí,Piauí,PI
Isaías Coelho,Piauí,PI
Itainópolis,Piauí,PI
Itaueira,Piauí,PI
Jacobina do Piauí,Piauí,PI
Jaicós,Piauí,PI
Jardim do Mulato,Piauí,PI
Jatobá do Piauí,Piauí,PI
Jerumenha,Piauí,PI
João Costa,Piauí,PI
Joaquim Pires,Piauí,PI
Joca Marques,Piauí,PI
José de Freitas,Piauí,PI
Juazeiro do Piauí,Piauí,PI
Júlio Borges,Piauí,PI
Jurema,Piauí,PI
Lagoa Alegre,Piauí,PI
Lagoa de São Francisco,Piauí,PI
Lagoa do Barro do Piauí,Piauí,PI
Lagoa do Piauí,Piauí,PI
Lagoa do Sítio,Piauí,PI
Lagoinha do Piauí,Piauí,PI
Landri Sales,Piauí,PI
Luís Correia,Piauí,PI
Luzilândia,Piauí,PI
Madeiro,Piauí,PI
Manoel Emídio,Piauí,PI
Marcolândia,Piauí,PI
Marcos Parente,Piauí,PI
Massapê do Piauí,Piauí,PI
Matias Olímpio,Piauí,PI
Miguel Alves,Piauí,PI
Miguel Leão,Piauí,PI
Milton Brandão,Piauí,PI
Monsenhor Gil,Piauí,PI
Monsenhor Hipólito,Piauí,PI
Monte Alegre do Piauí,Piauí,PI
Morro Cabeça no Tempo,Piauí,PI
Morro do Chapéu do Piauí,Piauí,PI
Murici dos Portelas,Piauí,PI
Nazaré do Piauí,Piauí,PI
Nazária,Piauí,PI
Nossa Senhora de Nazaré,Piauí,PI
Nossa Senhora dos Remédios,Piauí,PI
Nova Santa Rita,Piauí,PI
Novo Oriente do Piauí,Piauí,PI
Novo Santo Antônio,Piauí,PI
Oeiras,Piauí,PI
Olho D'Água do Piauí,Piauí,PI
Padre Marcos,Piauí,PI
Paes Landim,Piauí,PI
Pajeú do Piauí,Piauí,PI
Palmeira do Piauí,Piauí,PI
Palmeirais,Piauí,PI
Paquetá,Piauí,PI
Parnaguá,Piauí,PI
Parnaíba,Piauí,PI
Passagem Franca do Piauí,Piauí,PI
Patos do Piauí,Piauí,PI
Pau D'Arco do Piauí,Piauí,PI
Paulistana,Piauí,PI
Pavussu,Piauí,PI
Pedro II,Piauí,PI
Pedro Laurentino,Piauí,PI
Picos,Piauí,PI
Pimenteiras,Piauí,PI
Pio IX,Piauí,PI
Piracuruca,Piauí,PI
Piripiri,Piauí,PI
Porto,Piauí,PI
Porto Alegre do Piauí,Piauí,PI
Prata do Piauí,Piauí,PI
Queimada Nova,Piauí,PI
Redenção do Gurguéia,Piauí,PI
Regeneração,Piauí,PI
Riacho Frio,Piauí,PI
Ribeira do Piauí,Piauí,PI
Ribeiro Gonçalves,Piauí,PI
Rio Grande do Piauí,Piauí,PI
Santa Cruz do Piauí,Piauí,PI
Santa Cruz dos Milagres,Piauí,PI
Santa Filomena,Piauí,PI
Santa Luz,Piauí,PI
Santa Rosa do Piauí,Piauí,PI
Santana do Piauí,Piauí,PI
Santo Antônio de Lisboa,Piauí,PI
Santo Antônio dos Milagres,Piauí,PI
Santo Inácio do Piauí,Piauí,PI
São Braz do Piauí,Piauí,PI
São Félix do Piauí,Piauí,PI
São Francisco de Assis do Piauí,Piauí,PI
São Francisco do Piauí,Piauí,PI
São Gonçalo do Gurguéia,Piauí,PI
São Gonçalo do Piauí,Piauí,PI
São João da Canabrava,Piauí,PI
São João da Fronteira,Piauí,PI
São João da Serra,Piauí,PI
São João da Varjota,Piauí,PI
São João do Arraial,Piauí,PI
São João do Piauí,Piauí,PI
São José do Divino,Piauí,PI
São José do Peixe,Piauí,PI
São José do Piauí,Piauí,PI
São Julião,Piauí,PI
São Lourenço do Piauí,Piauí,PI
São Luis do Piauí,Piauí,PI
São Miguel da Baixa Grande,Piauí,PI
São Miguel do Fidalgo,Piauí,PI
São Miguel do Tapuio,Piauí,PI
São Pedro do Piauí,Piauí,PI
São Raimundo Nonato,Piauí,PI
Sebastião Barros,Piauí,PI
Sebastião Leal,Piauí,PI
Sigefredo Pacheco,Piauí,PI
Simões,Piauí,PI
Simplício Mendes,Piauí,PI
Socorro do Piauí,Piauí,PI
Sussuapara,Piauí,PI
Tamboril do Piauí,Piauí,PI
Tanque do Piauí,Piauí,PI
Teresina,Piauí,PI
União,Piauí,PI
Uruçuí,Piauí,PI
Valença do Piauí,Piauí,PI
Várzea Branca,Piauí,PI
Várzea Grande,Piauí,PI
Vera Mendes,Piauí,PI
Vila Nova do Piauí,Piauí,PI
Wall Ferraz,Piauí,PI
