Cidade,Estado,Sigla
Abatiá,Paraná,PR
Adrianópolis,Paraná,PR
Agudos do Sul,Paraná,PR
Almirante Tamandaré,Paraná,PR
Altamira do Paraná,Paraná,PR
Alto Paraíso,Paraná,PR
Alto Paraná,Paraná,PR
Alto Piquiri,Paraná,PR
Altônia,Paraná,PR
Alvorada do Sul,Paraná,PR
Amaporã,Paraná,PR
Ampére,Paraná,PR
Anahy,Paraná,PR
Andirá,Paraná,PR
Ângulo,Paraná,PR
Antonina,Paraná,PR
Antônio Olinto,Paraná,PR
Apucarana,Paraná,PR
Arapongas,Paraná,PR
Arapoti,Paraná,PR
Arapuã,Paraná,PR
Araruna,Paraná,PR
Araucária,Paraná,PR
Ariranha do Ivaí,Paraná,PR
Assaí,Paraná,PR
Assis Chateaubriand,Paraná,PR
Astorga,Paraná,PR
Atalaia,Paraná,PR
Balsa Nova,Paraná,PR
Bandeirantes,Paraná,PR
Barbosa Ferraz,Paraná,PR
Barra do Jacaré,Paraná,PR
Barracão,Paraná,PR
Bela Vista da Caroba,Paraná,PR
Bela Vista do Paraíso,Paraná,PR
Bituruna,Paraná,PR
Boa Esperança,Paraná,PR
Boa Esperança do Iguaçu,Paraná,PR
Boa Ventura de São Roque,Paraná,PR
Boa Vista da Aparecida,Paraná,PR
Bocaiúva do Sul,Paraná,PR
Bom Jesus do Sul,Paraná,PR
Bom Sucesso,Paraná,PR
Bom Sucesso do Sul,Paraná,PR
Borrazópolis,Paraná,PR
Braganey,Paraná,PR
Brasilândia do Sul,Paraná,PR
Cafeara,Paraná,PR
Cafelândia,Paraná,PR
Cafezal do Sul,Paraná,PR
Califórnia,Paraná,PR
Cambará,Paraná,PR
Cambé,Paraná,PR
Cambira,Paraná,PR
Campina da Lagoa,Paraná,PR
Campina do Simão,Paraná,PR
Campina Grande do Sul,Paraná,PR
Campo Bonito,Paraná,PR
Campo do Tenente,Paraná,PR
Campo Largo,Paraná,PR
Campo Magro,Paraná,PR
Campo Mourão,Paraná,PR
Cândido de Abreu,Paraná,PR
Candói,Paraná,PR
Cantagalo,Paraná,PR
Capanema,Paraná,PR
Capitão Leônidas Marques,Paraná,PR
Carambeí,Paraná,PR
Carlópolis,Paraná,PR
Cascavel,Paraná,PR
Castro,Paraná,PR
Catanduvas,Paraná,PR
