Cidade,Estado,Sigla
Angra dos Reis,Rio de Janeiro,RJ
Aperibé,Rio de Janeiro,RJ
Araruama,Rio de Janeiro,RJ
Areal,Rio de Janeiro,RJ
Armação dos Búzios,Rio de Janeiro,RJ
Arraial do Cabo,Rio de Janeiro,RJ
Barra do Piraí,Rio de Janeiro,RJ
Barra Mansa,Rio de Janeiro,RJ
Belford Roxo,Rio de Janeiro,RJ
Bom Jardim,Rio de Janeiro,RJ
Bom Jesus do Itabapoana,Rio de Janeiro,RJ
Cabo Frio,Rio de Janeiro,RJ
Cachoeiras de Macacu,Rio de Janeiro,RJ
Cambuci,Rio de Janeiro,RJ
Campos dos Goytacazes,Rio de Janeiro,RJ
Cantagalo,Rio de Janeiro,RJ
Carapebus,Rio de Janeiro,RJ
Cardoso Moreira,Rio de Janeiro,RJ
Carmo,Rio de Janeiro,RJ
Casimiro de Abreu,Rio de Janeiro,RJ
Comendador Levy Gasparian,Rio de Janeiro,RJ
Conceição de Macabu,Rio de Janeiro,RJ
Cordeiro,Rio de Janeiro,RJ
Duas Barras,Rio de Janeiro,RJ
Duque de Caxias,Rio de Janeiro,RJ
Engenheiro Paulo de Frontin,Rio de Janeiro,RJ
Guapimirim,Rio de Janeiro,RJ
Iguaba Grande,Rio de Janeiro,RJ
Itaboraí,Rio de Janeiro,RJ
Itaguaí,Rio de Janeiro,RJ
Italva,Rio de Janeiro,RJ
Itaocara,Rio de Janeiro,RJ
Itaperuna,Rio de Janeiro,RJ
Itatiaia,Rio de Janeiro,RJ
Japeri,Rio de Janeiro,RJ
Laje do Muriaé,Rio de Janeiro,RJ
Macaé,Rio de Janeiro,RJ
Macuco,Rio de Janeiro,RJ
Magé,Rio de Janeiro,RJ
Mangaratiba,Rio de Janeiro,RJ
Maricá,Rio de Janeiro,RJ
Mendes,Rio de Janeiro,RJ
Mesquita,Rio de Janeiro,RJ
Miguel Pereira,Rio de Janeiro,RJ
Miracema,Rio de Janeiro,RJ
Natividade,Rio de Janeiro,RJ
Nilópolis,Rio de Janeiro,RJ
Niterói,Rio de Janeiro,RJ
Nova Friburgo,Rio de Janeiro,RJ
Nova Iguaçu,Rio de Janeiro,RJ
Paracambi,Rio de Janeiro,RJ
Paraíba do Sul,Rio de Janeiro,RJ
Paraty,Rio de Janeiro,RJ
Paty do Alferes,Rio de Janeiro,RJ
Petrópolis,Rio de Janeiro,RJ
Pinheiral,Rio de Janeiro,RJ
Piraí,Rio de Janeiro,RJ
Porciúncula,Rio de Janeiro,RJ
Porto Real,Rio de Janeiro,RJ
Quatis,Rio de Janeiro,RJ
Queimados,Rio de Janeiro,RJ
Quissamã,Rio de Janeiro,RJ
Resende,Rio de Janeiro,RJ
Rio Bonito,Rio de Janeiro,RJ
Rio Claro,Rio de Janeiro,RJ
Rio das Flores,Rio de Janeiro,RJ
Rio das Ostras,Rio de Janeiro,RJ
Rio de Janeiro,Rio de Janeiro,RJ
Santa Maria Madalena,Rio de Janeiro,RJ
Santo Antônio de Pádua,Rio de Janeiro,RJ
São Fidélis,Rio de Janeiro,RJ
São Francisco de Itabapoana,Rio de Janeiro,RJ
São Gonçalo,Rio de Janeiro,RJ
São João da Barra,Rio de Janeiro,RJ
São João de Meriti,Rio de Janeiro,RJ
São José de Ubá,Rio de Janeiro,RJ
São José do Vale do Rio Preto,Rio de Janeiro,RJ
São Pedro da Aldeia,Rio de Janeiro,RJ
São Sebastião do Alto,Rio de Janeiro,RJ
Sapucaia,Rio de Janeiro,RJ
Saquarema,Rio de Janeiro,RJ
Seropédica,Rio de Janeiro,RJ
Silva Jardim,Rio de Janeiro,RJ
Sumidouro,Rio de Janeiro,RJ
Tanguá,Rio de Janeiro,RJ
Teresópolis,Rio de Janeiro,RJ
Trajano de Moraes,Rio de Janeiro,RJ
Três Rios,Rio de Janeiro,RJ
Valença,Rio de Janeiro,RJ
Varre-Sai,Rio de Janeiro,RJ
Vassouras,Rio de Janeiro,RJ
Volta Redonda,Rio de Janeiro,RJ
