Cidade,Estado,Sigla
Acari,Rio Grande do Norte,RN
Açu,Rio Grande do Norte,RN
Afonso Bezerra,Rio Grande do Norte,RN
Água Nova,Rio Grande do Norte,RN
Alexandria,Rio Grande do Norte,RN
Almino Afonso,Rio Grande do Norte,RN
Alto do Rodrigues,Rio Grande do Norte,RN
Angicos,Rio Grande do Norte,RN
Antônio Martins,Rio Grande do Norte,RN
Apodi,Rio Grande do Norte,RN
Areia Branca,Rio Grande do Norte,RN
Arês,Rio Grande do Norte,RN
Augusto Severo (Campo Grande),Rio Grande do Norte,RN
Baía Formosa,Rio Grande do Norte,RN
Baraúna,Rio Grande do Norte,RN
Barcelona,Rio Grande do Norte,RN
Bento Fernandes,Rio Grande do Norte,RN
Bodó,Rio Grande do Norte,RN
Bom Jesus,Rio Grande do Norte,RN
Brejinho,Rio Grande do Norte,RN
Caiçara do Norte,Rio Grande do Norte,RN
Caiçara do Rio do Vento,Rio Grande do Norte,RN
Caicó,Rio Grande do Norte,RN
Campo Redondo,Rio Grande do Norte,RN
Canguaretama,Rio Grande do Norte,RN
Caraúbas,Rio Grande do Norte,RN
Carnaúba dos Dantas,Rio Grande do Norte,RN
Carnaubais,Rio Grande do Norte,RN
Ceará-Mirim,Rio Grande do Norte,RN
Cerro Corá,Rio Grande do Norte,RN
Coronel Ezequiel,Rio Grande do Norte,RN
Coronel João Pessoa,Rio Grande do Norte,RN
Cruzeta,Rio Grande do Norte,RN
Currais Novos,Rio Grande do Norte,RN
Doutor Severiano,Rio Grande do Norte,RN
Encanto,Rio Grande do Norte,RN
Equador,Rio Grande do Norte,RN
Espírito Santo,Rio Grande do Norte,RN
Extremoz,Rio Grande do Norte,RN
Felipe Guerra,Rio Grande do Norte,RN
Fernando Pedroza,Rio Grande do Norte,RN
Florânia,Rio Grande do Norte,RN
Francisco Dantas,Rio Grande do Norte,RN
Frutuoso Gomes,Rio Grande do Norte,RN
Galinhos,Rio Grande do Norte,RN
Goianinha,Rio Grande do Norte,RN
Governador Dix-Sept Rosado,Rio Grande do Norte,RN
Grossos,Rio Grande do Norte,RN
Guamaré,Rio Grande do Norte,RN
Ielmo Marinho,Rio Grande do Norte,RN
Ipanguaçu,Rio Grande do Norte,RN
Ipueira,Rio Grande do Norte,RN
Itajá,Rio Grande do Norte,RN
Itaú,Rio Grande do Norte,RN
Jaçanã,Rio Grande do Norte,RN
Jandaíra,Rio Grande do Norte,RN
Janduís,Rio Grande do Norte,RN
Januário Cicco (Boa Saúde),Rio Grande do Norte,RN
Japi,Rio Grande do Norte,RN
Jardim de Angicos,Rio Grande do Norte,RN
Jardim de Piranhas,Rio Grande do Norte,RN
Jardim do Seridó,Rio Grande do Norte,RN
João Câmara,Rio Grande do Norte,RN
João Dias,Rio Grande do Norte,RN
José da Penha,Rio Grande do Norte,RN
Jucurutu,Rio Grande do Norte,RN
Jundiá,Rio Grande do Norte,RN
Lagoa d'Anta,Rio Grande do Norte,RN
Lagoa de Pedras,Rio Grande do Norte,RN
Lagoa de Velhos,Rio Grande do Norte,RN
Lagoa Nova,Rio Grande do Norte,RN
Lagoa Salgada,Rio Grande do Norte,RN
Lajes,Rio Grande do Norte,RN
Lajes Pintadas,Rio Grande do Norte,RN
Lucrécia,Rio Grande do Norte,RN
Luís Gomes,Rio Grande do Norte,RN
Macaíba,Rio Grande do Norte,RN
Macau,Rio Grande do Norte,RN
Major Sales,Rio Grande do Norte,RN
Marcelino Vieira,Rio Grande do Norte,RN
Martins,Rio Grande do Norte,RN
Maxaranguape,Rio Grande do Norte,RN
Messias Targino,Rio Grande do Norte,RN
Montanhas,Rio Grande do Norte,RN
Monte Alegre,Rio Grande do Norte,RN
Monte das Gameleiras,Rio Grande do Norte,RN
Mossoró,Rio Grande do Norte,RN
Natal,Rio Grande do Norte,RN
Nísia Floresta,Rio Grande do Norte,RN
Nova Cruz,Rio Grande do Norte,RN
Olho-d'Água do Borges,Rio Grande do Norte,RN
Ouro Branco,Rio Grande do Norte,RN
Paraná,Rio Grande do Norte,RN
Paraú,Rio Grande do Norte,RN
Parazinho,Rio Grande do Norte,RN
Parelhas,Rio Grande do Norte,RN
Parnamirim,Rio Grande do Norte,RN
Passa e Fica,Rio Grande do Norte,RN
Passagem,Rio Grande do Norte,RN
Patu,Rio Grande do Norte,RN
Pau dos Ferros,Rio Grande do Norte,RN
Pedra Grande,Rio Grande do Norte,RN
Pedra Preta,Rio Grande do Norte,RN
Pedro Avelino,Rio Grande do Norte,RN
Pedro Velho,Rio Grande do Norte,RN
Pendências,Rio Grande do Norte,RN
Pilões,Rio Grande do Norte,RN
Poço Branco,Rio Grande do Norte,RN
Portalegre,Rio Grande do Norte,RN
Porto do Mangue,Rio Grande do Norte,RN
Pureza,Rio Grande do Norte,RN
Rafael Fernandes,Rio Grande do Norte,RN
Rafael Godeiro,Rio Grande do Norte,RN
Riacho da Cruz,Rio Grande do Norte,RN
Riacho de Santana,Rio Grande do Norte,RN
Riachuelo,Rio Grande do Norte,RN
Rio do Fogo,Rio Grande do Norte,RN
Rodolfo Fernandes,Rio Grande do Norte,RN
Ruy Barbosa,Rio Grande do Norte,RN
Santa Cruz,Rio Grande do Norte,RN
Santa Maria,Rio Grande do Norte,RN
Santana do Matos,Rio Grande do Norte,RN
Santana do Seridó,Rio Grande do Norte,RN
Santo Antônio,Rio Grande do Norte,RN
São Bento do Norte,Rio Grande do Norte,RN
São Bento do Trairí,Rio Grande do Norte,RN
São Fernando,Rio Grande do Norte,RN
São Francisco do Oeste,Rio Grande do Norte,RN
São Gonçalo do Amarante,Rio Grande do Norte,RN
São João do Sabugi,Rio Grande do Norte,RN
São José de Mipibu,Rio Grande do Norte,RN
São José do Campestre,Rio Grande do Norte,RN
São José do Seridó,Rio Grande do Norte,RN
São Miguel,Rio Grande do Norte,RN
São Miguel do Gostoso,Rio Grande do Norte,RN
São Paulo do Potengi,Rio Grande do Norte,RN
São Pedro,Rio Grande do Norte,RN
São Rafael,Rio Grande do Norte,RN
São Tomé,Rio Grande do Norte,RN
São Vicente,Rio Grande do Norte,RN
Senador Elói de Souza,Rio Grande do Norte,RN
Senador Georgino Avelino,Rio Grande do Norte,RN
Serra Caiada,Rio Grande do Norte,RN
Serra de São Bento,Rio Grande do Norte,RN
Serra do Mel,Rio Grande do Norte,RN
Serra Negra do Norte,Rio Grande do Norte,RN
Serrinha,Rio Grande do Norte,RN
Serrinha dos Pintos,Rio Grande do Norte,RN
Severiano Melo,Rio Grande do Norte,RN
Sítio Novo,Rio Grande do Norte,RN
Taboleiro Grande,Rio Grande do Norte,RN
Taipu,Rio Grande do Norte,RN
Tangará,Rio Grande do Norte,RN
Tenente Ananias,Rio Grande do Norte,RN
Tenente Laurentino Cruz,Rio Grande do Norte,RN
Tibau,Rio Grande do Norte,RN
Tibau do Sul,Rio Grande do Norte,RN
Timbaúba dos Batistas,Rio Grande do Norte,RN
Touros,Rio Grande do Norte,RN
Triunfo Potiguar,Rio Grande do Norte,RN
Umarizal,Rio Grande do Norte,RN
Upanema,Rio Grande do Norte,RN
Várzea,Rio Grande do Norte,RN
Venha-Ver,Rio Grande do Norte,RN
Vera Cruz,Rio Grande do Norte,RN
Viçosa,Rio Grande do Norte,RN
Vila Flor,Rio Grande do Norte,RN
