Cidade,Estado,Sigla
Alta Floresta D'Oeste,Rondônia,RO
Alto Alegre dos Parecis,Rondônia,RO
Alto Paraíso,Rondônia,RO
Alvorada D'Oeste,Rondônia,RO
Ariquemes,Rondônia,RO
Buritis,Rondônia,RO
Cabixi,Rondônia,RO
Cacaulândia,Rondônia,RO
Cacoal,Rondônia,RO
Campo Novo de Rondônia,Rondônia,RO
Candeias do Jamari,Rondônia,RO
Castanheiras,Rondônia,RO
Cerejeiras,Rondônia,RO
Chupinguaia,Rondônia,RO
Colorado do Oeste,Rondônia,RO
Corumbiara,Rondônia,RO
Costa Marques,Rondônia,RO
Cujubim,Rondônia,RO
Espigão D'Oeste,Rondônia,RO
Governador Jorge Teixeira,Rondônia,RO
Guajará-Mirim,Rondônia,RO
Itapuã do Oeste,Rondônia,RO
Jaru,Rondônia,RO
Ji-Paraná,Rondônia,RO
Machadinho D'Oeste,Rondônia,RO
Ministro Andreazza,Rondônia,RO
Mirante da Serra,Rondônia,RO
Monte Negro,Rondônia,RO
Nova Brasilândia D'Oeste,Rondônia,RO
Nova Mamoré,Rondônia,RO
Nova União,Rondônia,RO
Novo Horizonte do Oeste,Rondônia,RO
Ouro Preto do Oeste,Rondônia,RO
Parecis,Rondônia,RO
Pimenta Bueno,Rondônia,RO
Pimenteiras do Oeste,Rondônia,RO
Porto Velho,Rondônia,RO
Presidente Médici,Rondônia,RO
Primavera de Rondônia,Rondônia,RO
Rio Crespo,Rondônia,RO
Rolim de Moura,Rondônia,RO
Santa Luzia D'Oeste,Rondônia,RO
São Felipe D'Oeste,Rondônia,RO
São Francisco do Guaporé,Rondônia,RO
São Miguel do Guaporé,Rondônia,RO
Seringueiras,Rondônia,RO
Teixeirópolis,Rondônia,RO
Theobroma,Rondônia,RO
Urupá,Rondônia,RO
Vale do Anari,Rondônia,RO
Vale do Paraíso,Rondônia,RO
Vilhena,Rondônia,RO
