Cidade,Estado,Sigla
Aceguá,Rio Grande do Sul,RS
Água Santa,Rio Grande do Sul,RS
Agudo,Rio Grande do Sul,RS
Ajuricaba,Rio Grande do Sul,RS
Alecrim,Rio Grande do Sul,RS
Alegrete,Rio Grande do Sul,RS
Alegria,Rio Grande do Sul,RS
Almirante Tamandaré do Sul,Rio Grande do Sul,RS
Alpestre,Rio Grande do Sul,RS
Alto Alegre,Rio Grande do Sul,RS
Alto Feliz,Rio Grande do Sul,RS
Alvorada,Rio Grande do Sul,RS
Amaral Ferrador,Rio Grande do Sul,RS
Ametista do Sul,Rio Grande do Sul,RS
André da Rocha,Rio Grande do Sul,RS
Anta Gorda,Rio Grande do Sul,RS
Antônio Prado,Rio Grande do Sul,RS
Arambaré,Rio Grande do Sul,RS
Araricá,Rio Grande do Sul,RS
Aratiba,Rio Grande do Sul,RS
Arroio do Meio,Rio Grande do Sul,RS
Arroio do Padre,Rio Grande do Sul,RS
Arroio do Sal,Rio Grande do Sul,RS
Arroio do Tigre,Rio Grande do Sul,RS
Arroio dos Ratos,Rio Grande do Sul,RS
Arroio Grande,Rio Grande do Sul,RS
Arvorezinha,Rio Grande do Sul,RS
Augusto Pestana,Rio Grande do Sul,RS
Áurea,Rio Grande do Sul,RS
Bagé,Rio Grande do Sul,RS
Balneário Pinhal,Rio Grande do Sul,RS
Barão,Rio Grande do Sul,RS
Barão de Cotegipe,Rio Grande do Sul,RS
Barão do Triunfo,Rio Grande do Sul,RS
Barra do Guarita,Rio Grande do Sul,RS
Barra do Quaraí,Rio Grande do Sul,RS
Barra do Ribeiro,Rio Grande do Sul,RS
Barra do Rio Azul,Rio Grande do Sul,RS
Barra Funda,Rio Grande do Sul,RS
Barracão,Rio Grande do Sul,RS
Barros Cassal,Rio Grande do Sul,RS
Benjamin Constant do Sul,Rio Grande do Sul,RS
Bento Gonçalves,Rio Grande do Sul,RS
Boa Vista das Missões,Rio Grande do Sul,RS
Boa Vista do Buricá,Rio Grande do Sul,RS
Boa Vista do Cadeado,Rio Grande do Sul,RS
Boa Vista do Incra,Rio Grande do Sul,RS
Boa Vista do Sul,Rio Grande do Sul,RS
Bom Jesus,Rio Grande do Sul,RS
Bom Princípio,Rio Grande do Sul,RS
Bom Progresso,Rio Grande do Sul,RS
Bom Retiro do Sul,Rio Grande do Sul,RS
Boqueirão do Leão,Rio Grande do Sul,RS
Bossoroca,Rio Grande do Sul,RS
Bozano,Rio Grande do Sul,RS
Braga,Rio Grande do Sul,RS
Brochier,Rio Grande do Sul,RS
Butiá,Rio Grande do Sul,RS
Caçapava do Sul,Rio Grande do Sul,RS
Cacequi,Rio Grande do Sul,RS
Cachoeira do Sul,Rio Grande do Sul,RS
Cachoeirinha,Rio Grande do Sul,RS
Cacique Doble,Rio Grande do Sul,RS
Caibaté,Rio Grande do Sul,RS
Caiçara,Rio Grande do Sul,RS
Camaquã,Rio Grande do Sul,RS
Camargo,Rio Grande do Sul,RS
Cambará do Sul,Rio Grande do Sul,RS
Campestre da Serra,Rio Grande do Sul,RS
Campina das Missões,Rio Grande do Sul,RS
Campinas do Sul,Rio Grande do Sul,RS
Campo Bom,Rio Grande do Sul,RS
Campo Novo,Rio Grande do Sul,RS
Campos Borges,Rio Grande do Sul,RS
Candelária,Rio Grande do Sul,RS
Cândido Godói,Rio Grande do Sul,RS
Candiota,Rio Grande do Sul,RS
Canela,Rio Grande do Sul,RS
Canguçu,Rio Grande do Sul,RS
Canoas,Rio Grande do Sul,RS
Canudos do Vale,Rio Grande do Sul,RS
Capão Bonito do Sul,Rio Grande do Sul,RS
Capão da Canoa,Rio Grande do Sul,RS
Capão do Cipó,Rio Grande do Sul,RS
Capão do Leão,Rio Grande do Sul,RS
Capela de Santana,Rio Grande do Sul,RS
Capitão,Rio Grande do Sul,RS
Capivari do Sul,Rio Grande do Sul,RS
Caraá,Rio Grande do Sul,RS
Carazinho,Rio Grande do Sul,RS
Carlos Barbosa,Rio Grande do Sul,RS
Carlos Gomes,Rio Grande do Sul,RS
Casca,Rio Grande do Sul,RS
Caseiros,Rio Grande do Sul,RS
Catuípe,Rio Grande do Sul,RS
Caxias do Sul,Rio Grande do Sul,RS
Centenário,Rio Grande do Sul,RS
Cerrito,Rio Grande do Sul,RS
Cerro Branco,Rio Grande do Sul,RS
Cerro Grande,Rio Grande do Sul,RS
Cerro Grande do Sul,Rio Grande do Sul,RS
Cerro Largo,Rio Grande do Sul,RS
Chapada,Rio Grande do Sul,RS
Charqueadas,Rio Grande do Sul,RS
Charrua,Rio Grande do Sul,RS
Chiapetta,Rio Grande do Sul,RS
Chuí,Rio Grande do Sul,RS
Chuvisca,Rio Grande do Sul,RS
Cidreira,Rio Grande do Sul,RS
Ciríaco,Rio Grande do Sul,RS
Colinas,Rio Grande do Sul,RS
Colorado,Rio Grande do Sul,RS
Condor,Rio Grande do Sul,RS
Constantina,Rio Grande do Sul,RS
Coqueiro Baixo,Rio Grande do Sul,RS
Coqueiros do Sul,Rio Grande do Sul,RS
Coronel Barros,Rio Grande do Sul,RS
Coronel Bicaco,Rio Grande do Sul,RS
Coronel Pilar,Rio Grande do Sul,RS
Cotiporã,Rio Grande do Sul,RS
Coxilha,Rio Grande do Sul,RS
Crissiumal,Rio Grande do Sul,RS
Cristal,Rio Grande do Sul,RS
Cristal do Sul,Rio Grande do Sul,RS
Cruz Alta,Rio Grande do Sul,RS
Cruzaltense,Rio Grande do Sul,RS
Cruzeiro do Sul,Rio Grande do Sul,RS
David Canabarro,Rio Grande do Sul,RS
Derrubadas,Rio Grande do Sul,RS
Dezesseis de Novembro,Rio Grande do Sul,RS
Dilermando de Aguiar,Rio Grande do Sul,RS
Dois Irmãos,Rio Grande do Sul,RS
Dois Irmãos das Missões,Rio Grande do Sul,RS
Dois Lajeados,Rio Grande do Sul,RS
Dom Feliciano,Rio Grande do Sul,RS
Dom Pedrito,Rio Grande do Sul,RS
Dom Pedro de Alcântara,Rio Grande do Sul,RS
Dona Francisca,Rio Grande do Sul,RS
Doutor Maurício Cardoso,Rio Grande do Sul,RS
Doutor Ricardo,Rio Grande do Sul,RS
Eldorado do Sul,Rio Grande do Sul,RS
Encantado,Rio Grande do Sul,RS
Encruzilhada do Sul,Rio Grande do Sul,RS
Engenho Velho,Rio Grande do Sul,RS
Entre Rios do Sul,Rio Grande do Sul,RS
Entre-Ijuís,Rio Grande do Sul,RS
Erebango,Rio Grande do Sul,RS
Erechim,Rio Grande do Sul,RS
Ernestina,Rio Grande do Sul,RS
Erval Grande,Rio Grande do Sul,RS
Erval Seco,Rio Grande do Sul,RS
Esmeralda,Rio Grande do Sul,RS
Esperança do Sul,Rio Grande do Sul,RS
Espumoso,Rio Grande do Sul,RS
Estação,Rio Grande do Sul,RS
Estância Velha,Rio Grande do Sul,RS
Esteio,Rio Grande do Sul,RS
Estrela,Rio Grande do Sul,RS
Estrela Velha,Rio Grande do Sul,RS
Eugênio de Castro,Rio Grande do Sul,RS
Fagundes Varela,Rio Grande do Sul,RS
Farroupilha,Rio Grande do Sul,RS
Faxinal do Soturno,Rio Grande do Sul,RS
Faxinalzinho,Rio Grande do Sul,RS
Fazenda Vilanova,Rio Grande do Sul,RS
Feliz,Rio Grande do Sul,RS
Flores da Cunha,Rio Grande do Sul,RS
Floriano Peixoto,Rio Grande do Sul,RS
Fontoura Xavier,Rio Grande do Sul,RS
Formigueiro,Rio Grande do Sul,RS
Forquetinha,Rio Grande do Sul,RS
Fortaleza dos Valos,Rio Grande do Sul,RS
Frederico Westphalen,Rio Grande do Sul,RS
Garibaldi,Rio Grande do Sul,RS
Garruchos,Rio Grande do Sul,RS
Gaurama,Rio Grande do Sul,RS
General Câmara,Rio Grande do Sul,RS
Gentil,Rio Grande do Sul,RS
Getúlio Vargas,Rio Grande do Sul,RS
Giruá,Rio Grande do Sul,RS
Glorinha,Rio Grande do Sul,RS
Gramado,Rio Grande do Sul,RS
Gramado dos Loureiros,Rio Grande do Sul,RS
Gramado Xavier,Rio Grande do Sul,RS
Gravataí,Rio Grande do Sul,RS
Guabiju,Rio Grande do Sul,RS
Guaíba,Rio Grande do Sul,RS
Guaporé,Rio Grande do Sul,RS
Guarani das Missões,Rio Grande do Sul,RS
Harmonia,Rio Grande do Sul,RS
Herval,Rio Grande do Sul,RS
Herveiras,Rio Grande do Sul,RS
Horizontina,Rio Grande do Sul,RS
Hulha Negra,Rio Grande do Sul,RS
Humaitá,Rio Grande do Sul,RS
Ibarama,Rio Grande do Sul,RS
Ibiaçá,Rio Grande do Sul,RS
Ibiraiaras,Rio Grande do Sul,RS
Ibirapuitã,Rio Grande do Sul,RS
Ibirubá,Rio Grande do Sul,RS
Igrejinha,Rio Grande do Sul,RS
Ijuí,Rio Grande do Sul,RS
Ilópolis,Rio Grande do Sul,RS
Imbé,Rio Grande do Sul,RS
Imigrante,Rio Grande do Sul,RS
Independência,Rio Grande do Sul,RS
Inhacorá,Rio Grande do Sul,RS
Ipê,Rio Grande do Sul,RS
Ipiranga do Sul,Rio Grande do Sul,RS
Iraí,Rio Grande do Sul,RS
Itaara,Rio Grande do Sul,RS
Itacurubi,Rio Grande do Sul,RS
Itapuca,Rio Grande do Sul,RS
Itaqui,Rio Grande do Sul,RS
Itati,Rio Grande do Sul,RS
Itatiba do Sul,Rio Grande do Sul,RS
Ivorá,Rio Grande do Sul,RS
Ivoti,Rio Grande do Sul,RS
Jaboticaba,Rio Grande do Sul,RS
Jacuizinho,Rio Grande do Sul,RS
Jacutinga,Rio Grande do Sul,RS
Jaguarão,Rio Grande do Sul,RS
Jaguari,Rio Grande do Sul,RS
Jaquirana,Rio Grande do Sul,RS
Jari,Rio Grande do Sul,RS
Jóia,Rio Grande do Sul,RS
Júlio de Castilhos,Rio Grande do Sul,RS
Lagoa Bonita do Sul,Rio Grande do Sul,RS
Lagoa dos Três Cantos,Rio Grande do Sul,RS
Lagoa Vermelha,Rio Grande do Sul,RS
Lagoão,Rio Grande do Sul,RS
Lajeado,Rio Grande do Sul,RS
Lajeado do Bugre,Rio Grande do Sul,RS
Lavras do Sul,Rio Grande do Sul,RS
Liberato Salzano,Rio Grande do Sul,RS
Lindolfo Collor,Rio Grande do Sul,RS
Linha Nova,Rio Grande do Sul,RS
Maçambará,Rio Grande do Sul,RS
Machadinho,Rio Grande do Sul,RS
Mampituba,Rio Grande do Sul,RS
Manoel Viana,Rio Grande do Sul,RS
Maquiné,Rio Grande do Sul,RS
Maratá,Rio Grande do Sul,RS
Marau,Rio Grande do Sul,RS
Marcelino Ramos,Rio Grande do Sul,RS
Mariana Pimentel,Rio Grande do Sul,RS
Mariano Moro,Rio Grande do Sul,RS
Marques de Souza,Rio Grande do Sul,RS
Mata,Rio Grande do Sul,RS
Mato Castelhano,Rio Grande do Sul,RS
Mato Leitão,Rio Grande do Sul,RS
Mato Queimado,Rio Grande do Sul,RS
Maximiliano de Almeida,Rio Grande do Sul,RS
Minas do Leão,Rio Grande do Sul,RS
Miraguaí,Rio Grande do Sul,RS
Montauri,Rio Grande do Sul,RS
Monte Alegre dos Campos,Rio Grande do Sul,RS
Monte Belo do Sul,Rio Grande do Sul,RS
Montenegro,Rio Grande do Sul,RS
Mormaço,Rio Grande do Sul,RS
Morrinhos do Sul,Rio Grande do Sul,RS
Morro Redondo,Rio Grande do Sul,RS
Morro Reuter,Rio Grande do Sul,RS
Mostardas,Rio Grande do Sul,RS
Muçum,Rio Grande do Sul,RS
Muitos Capões,Rio Grande do Sul,RS
Muliterno,Rio Grande do Sul,RS
Não-Me-Toque,Rio Grande do Sul,RS
Nicolau Vergueiro,Rio Grande do Sul,RS
Nonoai,Rio Grande do Sul,RS
Nova Alvorada,Rio Grande do Sul,RS
Nova Araçá,Rio Grande do Sul,RS
Nova Bassano,Rio Grande do Sul,RS
Nova Boa Vista,Rio Grande do Sul,RS
Nova Bréscia,Rio Grande do Sul,RS
Nova Candelária,Rio Grande do Sul,RS
Nova Esperança do Sul,Rio Grande do Sul,RS
Nova Hartz,Rio Grande do Sul,RS
Nova Pádua,Rio Grande do Sul,RS
Nova Palma,Rio Grande do Sul,RS
Nova Petrópolis,Rio Grande do Sul,RS
Nova Prata,Rio Grande do Sul,RS
Nova Ramada,Rio Grande do Sul,RS
Nova Roma do Sul,Rio Grande do Sul,RS
Nova Santa Rita,Rio Grande do Sul,RS
Novo Barreiro,Rio Grande do Sul,RS
Novo Cabrais,Rio Grande do Sul,RS
Novo Hamburgo,Rio Grande do Sul,RS
Novo Machado,Rio Grande do Sul,RS
Novo Tiradentes,Rio Grande do Sul,RS
Novo Xingu,Rio Grande do Sul,RS
Osório,Rio Grande do Sul,RS
Paim Filho,Rio Grande do Sul,RS
Palmares do Sul,Rio Grande do Sul,RS
Palmeira das Missões,Rio Grande do Sul,RS
Palmitinho,Rio Grande do Sul,RS
Panambi,Rio Grande do Sul,RS
Pantano Grande,Rio Grande do Sul,RS
Paraí,Rio Grande do Sul,RS
Paraíso do Sul,Rio Grande do Sul,RS
Pareci Novo,Rio Grande do Sul,RS
Parobé,Rio Grande do Sul,RS
Passa Sete,Rio Grande do Sul,RS
Passo do Sobrado,Rio Grande do Sul,RS
Passo Fundo,Rio Grande do Sul,RS
Paulo Bento,Rio Grande do Sul,RS
Paverama,Rio Grande do Sul,RS
Pedras Altas,Rio Grande do Sul,RS
Pedro Osório,Rio Grande do Sul,RS
Pejuçara,Rio Grande do Sul,RS
Pelotas,Rio Grande do Sul,RS
Picada Café,Rio Grande do Sul,RS
Pinhal,Rio Grande do Sul,RS
Pinhal da Serra,Rio Grande do Sul,RS
Pinhal Grande,Rio Grande do Sul,RS
Pinheirinho do Vale,Rio Grande do Sul,RS
