Cidade,Estado,Sigla
Adamantina,São Paulo,SP
Adolfo,São Paulo,SP
Aguaí,São Paulo,SP
Águas da Prata,São Paulo,SP
Águas de Lindóia,São Paulo,SP
Águas de Santa Bárbara,São Paulo,SP
Águas de São Pedro,São Paulo,SP
Agudos,São Paulo,SP
Alambari,São Paulo,SP
Alfredo Marcondes,São Paulo,SP
Altair,São Paulo,SP
Altinópolis,São Paulo,SP
Alto Alegre,São Paulo,SP
Alumínio,São Paulo,SP
Álvares Florence,São Paulo,SP
Álvares Machado,São Paulo,SP
Álvaro de Carvalho,São Paulo,SP
Alvinlândia,São Paulo,SP
Americana,São Paulo,SP
Américo Brasiliense,São Paulo,SP
Américo de Campos,São Paulo,SP
Amparo,São Paulo,SP
Analândia,São Paulo,SP
Andradina,São Paulo,SP
Angatuba,São Paulo,SP
Anhembi,São Paulo,SP
Anhumas,São Paulo,SP
Aparecida,São Paulo,SP
Aparecida d'Oeste,São Paulo,SP
Apiaí,São Paulo,SP
Araçariguama,São Paulo,SP
Araçatuba,São Paulo,SP
Araçoiaba da Serra,São Paulo,SP
Aramina,São Paulo,SP
Arandu,São Paulo,SP
Arapeí,São Paulo,SP
Araraquara,São Paulo,SP
Araras,São Paulo,SP
Arco-Íris,São Paulo,SP
Arealva,São Paulo,SP
Areias,São Paulo,SP
Areiópolis,São Paulo,SP
Ariranha,São Paulo,SP
Artur Nogueira,São Paulo,SP
Arujá,São Paulo,SP
Aspásia,São Paulo,SP
Assis,São Paulo,SP
Atibaia,São Paulo,SP
Auriflama,São Paulo,SP
Avaí,São Paulo,SP
Avanhandava,São Paulo,SP
Avaré,São Paulo,SP
Bady Bassitt,São Paulo,SP
Balbinos,São Paulo,SP
Bálsamo,São Paulo,SP
Bananal,São Paulo,SP
Barão de Antonina,São Paulo,SP
Barbosa,São Paulo,SP
Bariri,São Paulo,SP
Barra Bonita,São Paulo,SP
Barra do Chapéu,São Paulo,SP
Barra do Turvo,São Paulo,SP
Barretos,São Paulo,SP
Barrinha,São Paulo,SP
Barueri,São Paulo,SP
Bastos,São Paulo,SP
Batatais,São Paulo,SP
Bauru,São Paulo,SP
Bebedouro,São Paulo,SP
Bento de Abreu,São Paulo,SP
Bernardino de Campos,São Paulo,SP
Bertioga,São Paulo,SP
Bilac,São Paulo,SP
Birigui,São Paulo,SP
Biritiba-Mirim,São Paulo,SP
Boa Esperança do Sul,São Paulo,SP
Bocaina,São Paulo,SP
Bofete,São Paulo,SP
Boituva,São Paulo,SP
Bom Jesus dos Perdões,São Paulo,SP
Bom Sucesso de Itararé,São Paulo,SP
Borá,São Paulo,SP
Boracéia,São Paulo,SP
Borborema,São Paulo,SP
Borebi,São Paulo,SP
Botucatu,São Paulo,SP
Bragança Paulista,São Paulo,SP
Braúna,São Paulo,SP
Brejo Alegre,São Paulo,SP
Brodowski,São Paulo,SP
Brotas,São Paulo,SP
Buri,São Paulo,SP
Buritama,São Paulo,SP
Buritizal,São Paulo,SP
Cabrália Paulista,São Paulo,SP
Cabreúva,São Paulo,SP
Caçapava,São Paulo,SP
Cachoeira Paulista,São Paulo,SP
Caconde,São Paulo,SP
Cafelândia,São Paulo,SP
Caiabu,São Paulo,SP
Caieiras,São Paulo,SP
Caiuá,São Paulo,SP
Cajamar,São Paulo,SP
Cajati,São Paulo,SP
Cajobi,São Paulo,SP
Cajuru,São Paulo,SP
Campina do Monte Alegre,São Paulo,SP
Campinas,São Paulo,SP
Campo Limpo Paulista,São Paulo,SP
Campos do Jordão,São Paulo,SP
Campos Novos Paulista,São Paulo,SP
Cananéia,São Paulo,SP
Canas,São Paulo,SP
Cândido Mota,São Paulo,SP
Cândido Rodrigues,São Paulo,SP
Canitar,São Paulo,SP
Capão Bonito,São Paulo,SP
Capela do Alto,São Paulo,SP
