Cidade,Estado,Sigla
Abreulândia,Tocantins,TO
Aguiarnópolis,Tocantins,TO
Aliança do Tocantins,Tocantins,TO
Almas,Tocantins,TO
Alvorada,Tocantins,TO
Ananás,Tocantins,TO
Angico,Tocantins,TO
Aparecida do Rio Negro,Tocantins,TO
Aragominas,Tocantins,TO
Araguacema,Tocantins,TO
Araguaçu,Tocantins,TO
Araguaína,Tocantins,TO
Araguanã,Tocantins,TO
Araguatins,Tocantins,TO
Arapoema,Tocantins,TO
Arraias,Tocantins,TO
Augustinópolis,Tocantins,TO
Aurora do Tocantins,Tocantins,TO
Axixá do Tocantins,Tocantins,TO
Babaçulândia,Tocantins,TO
Bandeirantes do Tocantins,Tocantins,TO
Barra do Ouro,Tocantins,TO
Barrolândia,Tocantins,TO
Bernardo Sayão,Tocantins,TO
Bom Jesus do Tocantins,Tocantins,TO
Brasilândia do Tocantins,Tocantins,TO
Brejinho de Nazaré,Tocantins,TO
Buriti do Tocantins,Tocantins,TO
Cachoeirinha,Tocantins,TO
Campos Lindos,Tocantins,TO
Cariri do Tocantins,Tocantins,TO
Carmolândia,Tocantins,TO
Carrasco Bonito,Tocantins,TO
Caseara,Tocantins,TO
Centenário,Tocantins,TO
Chapada da Natividade,Tocantins,TO
Chapada de Areia,Tocantins,TO
Colinas do Tocantins,Tocantins,TO
Colméia,Tocantins,TO
Combinado,Tocantins,TO
Conceição do Tocantins,Tocantins,TO
Couto Magalhães,Tocantins,TO
Cristalândia,Tocantins,TO
Crixás do Tocantins,Tocantins,TO
Darcinópolis,Tocantins,TO
Dianópolis,Tocantins,TO
Divinópolis do Tocantins,Tocantins,TO
Dois Irmãos do Tocantins,Tocantins,TO
Dueré,Tocantins,TO
Esperantina,Tocantins,TO
Fátima,Tocantins,TO
Figueirópolis,Tocantins,TO
Filadélfia,Tocantins,TO
Formoso do Araguaia,Tocantins,TO
Fortaleza do Tabocão,Tocantins,TO
Goianorte,Tocantins,TO
Goiatins,Tocantins,TO
Guaraí,Tocantins,TO
Gurupi,Tocantins,TO
Ipueiras,Tocantins,TO
Itacajá,Tocantins,TO
Itaguatins,Tocantins,TO
Itapiratins,Tocantins,TO
Itaporã do Tocantins,Tocantins,TO
Jaú do Tocantins,Tocantins,TO
Juarina,Tocantins,TO
Lagoa da Confusão,Tocantins,TO
Lagoa do Tocantins,Tocantins,TO
Lajeado,Tocantins,TO
Lavandeira,Tocantins,TO
Lizarda,Tocantins,TO
Luzinópolis,Tocantins,TO
Marianópolis do Tocantins,Tocantins,TO
Mateiros,Tocantins,TO
Maurilândia do Tocantins,Tocantins,TO
Miracema do Tocantins,Tocantins,TO
Miranorte,Tocantins,TO
Monte do Carmo,Tocantins,TO
Monte Santo do Tocantins,Tocantins,TO
Muricilândia,Tocantins,TO
Natividade,Tocantins,TO
Nazaré,Tocantins,TO
Nova Olinda,Tocantins,TO
Nova Rosalândia,Tocantins,TO
Novo Acordo,Tocantins,TO
Novo Alegre,Tocantins,TO
Novo Jardim,Tocantins,TO
Oliveira de Fátima,Tocantins,TO
Palmas,Tocantins,TO
Palmeirante,Tocantins,TO
Palmeiras do Tocantins,Tocantins,TO
Palmeirópolis,Tocantins,TO
Paraíso do Tocantins,Tocantins,TO
Paranã,Tocantins,TO
Pau D'Arco,Tocantins,TO
Pedro Afonso,Tocantins,TO
Peixe,Tocantins,TO
Pequizeiro,Tocantins,TO
Pindorama do Tocantins,Tocantins,TO
Piraquê,Tocantins,TO
Pium,Tocantins,TO
Ponte Alta do Bom Jesus,Tocantins,TO
Ponte Alta do Tocantins,Tocantins,TO
Porto Alegre do Tocantins,Tocantins,TO
Porto Nacional,Tocantins,TO
Praia Norte,Tocantins,TO
Presidente Kennedy,Tocantins,TO
Pugmil,Tocantins,TO
Recursolândia,Tocantins,TO
Riachinho,Tocantins,TO
Rio da Conceição,Tocantins,TO
Rio dos Bois,Tocantins,TO
Rio Sono,Tocantins,TO
Sampaio,Tocantins,TO
Sandolândia,Tocantins,TO
Santa Fé do Araguaia,Tocantins,TO
Santa Maria do Tocantins,Tocantins,TO
Santa Rita do Tocantins,Tocantins,TO
Santa Rosa do Tocantins,Tocantins,TO
Santa Tereza do Tocantins,Tocantins,TO
Santa Terezinha do Tocantins,Tocantins,TO
São Bento do Tocantins,Tocantins,TO
São Félix do Tocantins,Tocantins,TO
São Miguel do Tocantins,Tocantins,TO
São Salvador do Tocantins,Tocantins,TO
São Sebastião do Tocantins,Tocantins,TO
São Valério,Tocantins,TO
Silvanópolis,Tocantins,TO
Sítio Novo do Tocantins,Tocantins,TO
Sucupira,Tocantins,TO
Taguatinga,Tocantins,TO
Taipas do Tocantins,Tocantins,TO
Talismã,Tocantins,TO
Tocantínia,Tocantins,TO
Tocantinópolis,Tocantins,TO
Tupirama,Tocantins,TO
Tupiratins,Tocantins,TO
Wanderlândia,Tocantins,TO
Xambioá,Tocantins,TO
